Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
44,71.0,0.0,1313.0,1313.0,24.0,1313.0,0.9997435000000084,0.0,0.0,0.0,,,,0.006255258119199425,0.007210754218854984,0.015738984569907192,0.0002759898779913783,0.0001,0.0,0.0001,0.0001,0.055895794000000006,0.022606615,0.09354594,0.03563409,,,,
45,77.0,0.0,1337.0,1337.0,24.0,1337.0,0.9997219000000092,0.0,0.0,0.0,,,,0.009525858203414828,0.007253994556250472,0.016343241557478905,0.0005345832323655486,0.0001,0.0,0.0001,0.0001,0.07236512,0.018601744,0.10169352599999999,0.04579745599999999,,,,
46,90.0,0.0,1389.0,1389.0,52.0,1389.0,0.9996751000000108,1.0,1.0,0.0,,,,0.005153805784175347,0.00928351053900322,0.030100414529442787,5.994282764731906e-05,0.0001,0.0,0.0001,0.0001,0.04165425,0.037549235,0.15133189,0.008658583000000001,,,,
47,96.0,0.0,1413.0,1413.0,24.0,1413.0,0.9996535000000114,0.0,0.0,0.0,,,,0.006496217579115182,0.01230401044356059,0.031103860586881638,0.00023249787045642734,0.0001,0.0,0.0001,0.0001,0.05467675,0.034124896,0.1210934,0.023223572999999997,,,,
48,102.0,0.0,1437.0,1437.0,24.0,1437.0,0.999631900000012,0.0,0.0,0.0,,,,0.0031395294790854678,0.0059967161758237505,0.015132606960833073,5.434382183011621e-05,0.0001,0.0,0.0001,0.0001,0.031187758,0.018367941999999998,0.06595951,0.011219664499999999,,,,
49,133.0,0.0,1559.0,1559.0,122.0,1559.0,0.9995221000000156,2.0,2.0,0.0,,,,0.005255444431289409,0.008930426508980772,0.03013340383768082,2.9927097784820947e-05,9.999999999999998e-05,2.7105054312137605e-20,0.0001,0.0001,0.043462016,0.0327971,0.14400582,0.0077500055000000005,,,,
50,139.0,0.0,1583.0,1583.0,24.0,1583.0,0.9995005000000164,0.0,0.0,0.0,,,,5.105208250218615e-05,2.0664975405926033e-05,9.059895819518715e-05,3.0067540137679323e-05,0.0001,0.0,0.0001,0.0001,0.009285996999999999,0.0013646834,0.010880828,0.006650700000000001,,,,
51,144.0,0.0,1602.0,1602.0,19.0,1602.0,0.9994834000000171,0.0,0.0,0.0,,,,0.0032346299962227928,0.006348816831770688,0.01593215949833393,2.6587900720187466e-05,0.0001,0.0,0.0001,0.0001,0.024133641,0.031049086,0.08609433,0.0048748297,,,,
52,157.0,0.0,1654.0,1654.0,52.0,1654.0,0.9994366000000184,1.0,1.0,0.0,,,,0.007211648122812711,0.01148026708575298,0.031125642359256744,1.6528869309695438e-05,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.04149264,0.03579798,0.114368394,0.0065434286,,,,
53,163.0,0.0,1678.0,1678.0,24.0,1678.0,0.9994150000000191,0.0,0.0,0.0,,,,0.005147493141218244,0.006887617150464576,0.015009959228336813,0.00020979049440938982,0.0001,0.0,0.0001,0.0001,0.04415526,0.015538716999999999,0.06892827,0.028765159,,,,
54,169.0,0.0,1702.0,1702.0,24.0,1702.0,0.99939340000002,0.0,0.0,0.0,,,,0.007853095122603312,0.007751255028596783,0.015802081674337387,7.387885125353932e-05,0.0001,0.0,0.0001,0.0001,0.048468698,0.030722153999999998,0.088824086,0.016705666,,,,
55,175.0,0.0,1726.0,1726.0,24.0,1726.0,0.9993718000000208,0.0,0.0,0.0,,,,0.005235995224211365,0.007250197542922803,0.015616126358509062,3.6152632674202316e-05,0.0001,0.0,0.0001,0.0001,0.035646107,0.030373868,0.080153055,0.009057477,,,,
56,181.0,0.0,1750.0,1750.0,24.0,1750.0,0.9993502000000214,0.0,0.0,0.0,,,,0.002651487959762259,0.005680538354724047,0.0153533099219203,8.05786985438317e-05,0.0001,0.0,0.0001,0.0001,0.026544176000000003,0.021277558,0.07378889999999999,0.013578731,,,,
57,187.0,0.0,1774.0,1774.0,24.0,1774.0,0.999328600000022,0.0,0.0,0.0,,,,0.002660714804126959,0.0056105125502437046,0.015204772353172304,6.763762939954178e-05,0.0001,0.0,0.0001,0.0001,0.02965597,0.02131824,0.07617426,0.015303365,,,,
58,193.0,0.0,1798.0,1798.0,24.0,1798.0,0.9993070000000228,0.0,0.0,0.0,,,,0.007818353372082735,0.007688522037131024,0.01595342718064785,9.013520320877431e-05,0.0001,0.0,0.0001,0.0001,0.046393603,0.029454328,0.08798962,0.011369889,,,,
59,220.0,0.0,1908.0,1908.0,110.0,1908.0,0.999208000000026,2.0,2.0,0.0,,,,0.0035510347274625756,0.007577372457249617,0.0307245422154665,3.435365215409547e-05,0.0001,1.3552527156068802e-20,0.0001,0.0001,0.03139337,0.028627882,0.11968643,0.006660617,,,,
60,238.0,0.0,1978.0,1978.0,70.0,1978.0,0.999145000000028,1.0,1.0,0.0,,,,0.004357736734921976,0.008593114561951172,0.03095393441617489,7.3200490078306765e-06,0.0001,0.0,0.0001,0.0001,0.027625583,0.03095718,0.10878444,0.0029241503000000005,,,,
61,244.0,0.0,2002.0,2002.0,24.0,2002.0,0.9991234000000287,0.0,0.0,0.0,,,,0.005190512255164019,0.007124969909641564,0.01566228084266186,0.00010155962081626059,0.0001,0.0,0.0001,0.0001,0.03796425,0.023057524,0.07764213,0.017697664,,,,
62,250.0,0.0,2026.0,2026.0,24.0,2026.0,0.9991018000000296,0.0,0.0,0.0,,,,0.005263853505312,0.007121170738551017,0.015507908537983894,0.0002145003090845421,0.0001,0.0,0.0001,0.0001,0.042847725999999996,0.022740912000000002,0.0767697,0.024060901000000003,,,,
63,256.0,0.0,2050.0,2050.0,24.0,2050.0,0.9990802000000304,0.0,0.0,0.0,,,,0.010343627497301592,0.007246904516942319,0.015900110825896263,9.72321577137336e-05,0.0001,0.0,0.0001,0.0001,0.054025962999999996,0.026792454,0.08450681,0.016936572,,,,
