Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
32,0.0,1.0,24.0,1.0,24.0,770.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,24.0,1.0,24.0,794.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,24.0,1.0,24.0,818.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,24.0,1.0,24.0,842.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,72.0,1.0,72.0,914.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.7148043358579296,0.5369760414217768,1.6757290490602832,0.0,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,24.0,1.0,24.0,938.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,24.0,1.0,24.0,962.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,24.0,1.0,24.0,986.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,24.0,1.0,24.0,1010.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,24.0,1.0,24.0,1034.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,24.0,1.0,24.0,1058.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0015780539000000001,0.0,0.0015780539000000001,0.0015780539000000001,0.0,0.0,0.0,0.0,1.3862332,3.0267698e-05,1.3862913000000001,1.3862039,-0.004835616983473301,0.002128698886637347,-0.0005783587694168091,-0.008099660277366638,0.047669046,0.0004560744,0.048242927000000005,0.046706005999999994,3.4077166e-05,0.0,3.4077166e-05,3.4077166e-05,-0.0067146359999999995,0.0,-0.0067146359999999995,-0.0067146359999999995
