Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
44,54.0,0.0,1242.0,1242.0,24.0,1242.0,0.9998074000000065,0.0,0.0,0.0,,,,0.003419187618419528,0.0016106661745347833,0.004996682982891798,0.00019455468282103536,0.00025,0.0,0.00025,0.00025,0.013455576,0.0031306648,0.019762874,0.01029163,,,,
45,60.0,0.0,1266.0,1266.0,24.0,1266.0,0.9997858000000072,0.0,0.0,0.0,,,,0.0026470220230597388,0.0014613916090000325,0.005070024635642767,0.0004854150174651295,0.00025,0.0,0.00025,0.00025,0.014152333000000001,0.0045002485,0.020286517,0.008018228,,,,
46,84.0,0.0,1364.0,1364.0,98.0,1364.0,0.99969760000001,2.0,2.0,0.0,,,,0.002993352683612708,0.0017051162579808164,0.006995546631515026,0.00012112950935261323,0.00025,0.0,0.00025,0.00025,0.013388541499999998,0.0044555487,0.023074891,0.0069951788,,,,
47,90.0,0.0,1388.0,1388.0,24.0,1388.0,0.9996760000000108,0.0,0.0,0.0,,,,0.0026038374732403704,0.001922068853747761,0.006397408433258534,0.0003110988182015717,0.00025,0.0,0.00025,0.00025,0.015787938999999997,0.004670657700000001,0.022126008,0.008606508,,,,
48,96.0,0.0,1412.0,1412.0,24.0,1412.0,0.9996544000000114,0.0,0.0,0.0,,,,0.001410743153731649,0.0009016599552567453,0.0029722838662564754,0.00031859712908044463,0.00025,0.0,0.00025,0.00025,0.010019269,0.0033952845000000003,0.014856365,0.0058683584999999995,,,,
49,102.0,0.0,1436.0,1436.0,24.0,1436.0,0.999632800000012,0.0,0.0,0.0,,,,0.0014355341457606605,0.0011385931637875328,0.003492784919217229,0.00012285489356145263,0.00025,0.0,0.00025,0.00025,0.009142881,0.0043844357,0.018275587,0.0041663265,,,,
50,108.0,0.0,1460.0,1460.0,24.0,1460.0,0.9996112000000128,0.0,0.0,0.0,,,,0.002463205096622308,0.0011012137756772583,0.004559868015348911,0.0015656048199161887,0.00025,0.0,0.00025,0.00025,0.010632798999999998,0.0030806266999999997,0.015846558,0.007851414000000001,,,,
51,114.0,0.0,1484.0,1484.0,24.0,1484.0,0.9995896000000136,0.0,0.0,0.0,,,,0.003543351233626405,0.0016528967919232662,0.006351178977638483,0.0016248708125203848,0.00025,0.0,0.00025,0.00025,0.011088694,0.003784289,0.018269341,0.0067286915,,,,
52,120.0,0.0,1508.0,1508.0,24.0,1508.0,0.9995680000000142,0.0,0.0,0.0,,,,0.0032710027492915588,0.0011381718906248507,0.004718737676739693,0.0017906927969306707,0.00025,0.0,0.00025,0.00025,0.011543418,0.0013896688,0.0127817,0.009001655,,,,
53,126.0,0.0,1532.0,1532.0,24.0,1532.0,0.9995464000000148,0.0,0.0,0.0,,,,0.0028701402867833768,0.000500124398635495,0.0032680269796401267,0.0017919952515512703,0.00025,0.0,0.00025,0.00025,0.0129779205,0.0016973029999999998,0.01568717,0.011101498000000001,,,,
54,132.0,0.0,1556.0,1556.0,24.0,1556.0,0.9995248000000156,0.0,0.0,0.0,,,,0.0037976692353064814,0.001398400464933248,0.0059614949859678745,0.0016302119474858046,0.00025,0.0,0.00025,0.00025,0.013859478,0.0033988624,0.019462405,0.008769113,,,,
55,138.0,0.0,1580.0,1580.0,24.0,1580.0,0.9995032000000164,0.0,0.0,0.0,,,,0.0024372211240309602,0.0018199033149447247,0.0055216941982507714,0.0002980948192998767,0.00025,0.0,0.00025,0.00025,0.012720976,0.0023426015,0.016316863,0.009137239,,,,
56,144.0,0.0,1604.0,1604.0,24.0,1604.0,0.9994816000000172,0.0,0.0,0.0,,,,0.002047153369251949,0.002193042492889505,0.005578858777880669,0.00015291513409465551,0.00025,0.0,0.00025,0.00025,0.01121493,0.0027218442,0.016574403,0.008684991,,,,
57,150.0,0.0,1628.0,1628.0,24.0,1628.0,0.9994600000000178,0.0,0.0,0.0,,,,0.0016067543741276795,0.0008512648921378853,0.003009787295013666,7.473524601664394e-05,0.00025,0.0,0.00025,0.00025,0.0072045866,0.0011052388,0.008641023000000001,0.0058187223,,,,
58,156.0,0.0,1652.0,1652.0,24.0,1652.0,0.9994384000000184,0.0,0.0,0.0,,,,0.0021249198010385353,0.0014379874585362155,0.00461807893589139,6.1009384808130556e-05,0.00025,0.0,0.00025,0.00025,0.008685348,0.0038616303,0.016439166,0.0055884738,,,,
59,160.0,0.0,1666.0,1666.0,14.0,1666.0,0.9994258000000188,0.0,0.0,0.0,,,,0.0009706097953312565,0.0009375423689691332,0.0020887560676783323,3.4384858736302704e-05,0.00025,0.0,0.00025,0.00025,0.006578450600000001,0.002743775,0.0109919775,0.003832067,,,,
60,166.0,0.0,1690.0,1690.0,24.0,1690.0,0.9994042000000196,0.0,0.0,0.0,,,,0.0033944156020879745,0.0010401927615432734,0.005290196277201176,0.001709741773083806,0.00025,0.0,0.00025,0.00025,0.010105313000000001,0.0014762123999999999,0.012689015,0.008111998,,,,
61,172.0,0.0,1714.0,1714.0,24.0,1714.0,0.9993826000000204,0.0,0.0,0.0,,,,0.0028503150145600857,0.0019658700491972333,0.005976663436740637,0.0001029027916956693,0.00025,0.0,0.00025,0.00025,0.009653398,0.0031360309000000005,0.015677467,0.006283645500000001,,,,
62,178.0,0.0,1738.0,1738.0,24.0,1738.0,0.999361000000021,0.0,0.0,0.0,,,,0.0017259403975913301,0.0012280062772634776,0.0033910232596099377,0.00020916108042001724,0.00025,0.0,0.00025,0.00025,0.010022095,0.0018237355,0.012507198,0.006484695699999999,,,,
63,195.0,0.0,1808.0,1808.0,70.0,1808.0,0.9992980000000232,1.0,1.0,0.0,,,,0.002338588158154915,0.0015086706729519454,0.00577933294698596,0.0001198689715238288,0.00025,0.0,0.00025,0.00025,0.00907578,0.002405833,0.016603176,0.006257876999999999,,,,
64,204.0,0.0,1844.0,1844.0,36.0,1844.0,0.9992656000000242,1.0,1.0,0.0,,,,0.0016679166146786886,0.0014960731812261306,0.003340581431984901,6.24368985882029e-05,0.00025,0.0,0.00025,0.00025,0.007878176,0.0025155921,0.01321718,0.0047950125,,,,
65,210.0,0.0,1868.0,1868.0,24.0,1868.0,0.9992440000000248,0.0,0.0,0.0,,,,0.0020090419066036698,0.0012266897405484114,0.0035597195383161306,2.8261265470064245e-05,0.00025,0.0,0.00025,0.00025,0.008648177,0.004273065,0.016313242,0.0030310847999999997,,,,
66,216.0,0.0,1892.0,1892.0,24.0,1892.0,0.9992224000000256,0.0,0.0,0.0,,,,0.003503315606697773,0.0024451922196290425,0.006435724906623364,4.72061219625175e-05,0.00025,0.0,0.00025,0.00025,0.011089341,0.006147079000000001,0.02125124,0.0039738053,,,,
67,229.0,0.0,1944.0,1944.0,52.0,1944.0,0.9991756000000273,1.0,1.0,0.0,,,,0.00261552066121322,0.0012743210021804727,0.004874275531619786,8.364164386875926e-05,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.00909249,0.0032897765999999997,0.0179425,0.005220652,,,,
68,235.0,0.0,1968.0,1968.0,24.0,1968.0,0.999154000000028,0.0,0.0,0.0,,,,0.002963669947348535,0.0015608753247727824,0.004755032714456321,0.0003015192924067378,0.00025,0.0,0.00025,0.00025,0.010563103,0.0032041021999999995,0.012983935,0.0036013452000000002,,,,
69,249.0,0.0,2022.0,2022.0,54.0,2022.0,0.9991054000000296,1.0,1.0,0.0,,,,0.002401931286190769,0.0015366373453178925,0.006165920756757259,0.00017728496459312737,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.009597833,0.0025411316,0.014430663,0.005809794,,,,
70,255.0,0.0,2046.0,2046.0,24.0,2046.0,0.9990838000000302,0.0,0.0,0.0,,,,0.002319183407962555,0.002065487611754246,0.006069307215511799,9.570583642926068e-05,0.00025,0.0,0.00025,0.00025,0.008050944,0.003145909,0.014666314,0.0058599175,,,,
71,257.0,0.0,2056.0,2056.0,10.0,2056.0,0.9990748000000303,0.0,0.0,0.0,,,,0.003246073960326612,2.027198206633329e-05,0.003266345942392945,0.0032258019782602787,0.00025,0.0,0.00025,0.00025,0.0097548105,0.0022853273000000003,0.012040137,0.0074694827,,,,
72,263.0,0.0,2080.0,2080.0,24.0,2080.0,0.9990532000000312,0.0,0.0,0.0,,,,0.0033986642956733704,0.0010078467311895652,0.004332568030804396,0.0015150532126426695,0.00025,0.0,0.00025,0.00025,0.009684766,0.0047481065,0.017846614,0.0046073766,,,,
73,269.0,0.0,2104.0,2104.0,24.0,2104.0,0.999031600000032,0.0,0.0,0.0,,,,0.0017724514085178573,0.0013935314202436178,0.004511280916631222,0.0002367907436564565,0.00025,0.0,0.00025,0.00025,0.011208791000000001,0.0039685597,0.018024006999999998,0.0051234720000000004,,,,
74,287.0,0.0,2177.0,2177.0,73.0,2177.0,0.9989659000000342,1.0,1.0,0.0,,,,0.002053740697293607,0.00131970599575798,0.004520077258348465,5.571630390477367e-05,0.00025,0.0,0.00025,0.00025,0.008991661,0.0037714303,0.015088256000000001,0.0032172529999999998,,,,
75,300.0,0.0,2229.0,2229.0,52.0,2229.0,0.9989191000000356,1.0,1.0,0.0,,,,0.0033715951916140816,0.001969289414872429,0.006410799454897642,0.00025151390582323074,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.010502063999999998,0.0034387158,0.01569254,0.004984409,,,,
76,319.0,0.0,2304.0,2304.0,75.0,2304.0,0.9988516000000378,1.0,1.0,0.0,,,,0.002085687806053708,0.0013949744816144794,0.004763196688145399,8.430857269559057e-05,0.00025,0.0,0.00025,0.00025,0.008947985,0.0025301015,0.014758715,0.005434901,,,,
77,325.0,0.0,2328.0,2328.0,24.0,2328.0,0.9988300000000384,0.0,0.0,0.0,,,,0.0018640800917637532,0.0010483340078253963,0.003141164779663086,7.195227954071014e-05,0.00025,0.0,0.00025,0.00025,0.007215922,0.0015149214000000002,0.009351957,0.0049944734,,,,
78,331.0,0.0,2352.0,2352.0,24.0,2352.0,0.9988084000000392,0.0,0.0,0.0,,,,0.0026900775325581585,0.0015043005077883026,0.0047569945454597464,5.782504013041034e-05,0.00025,0.0,0.00025,0.00025,0.008881616,0.0038207152,0.015554748,0.0041125879999999995,,,,
79,337.0,0.0,2376.0,2376.0,24.0,2376.0,0.99878680000004,0.0,0.0,0.0,,,,0.0038997097678172095,0.002355962875857629,0.008015837520360947,9.932846296578646e-05,0.00025,0.0,0.00025,0.00025,0.010650906000000002,0.0040613609999999994,0.018562376000000002,0.005916559,,,,
80,350.0,0.0,2428.0,2428.0,52.0,2428.0,0.9987400000000416,1.0,1.0,0.0,,,,0.002465846674078001,0.002239397253528073,0.007698122411966324,0.00023325167421717202,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.010380621999999999,0.0030616906,0.016762363,0.0057984698,,,,
81,356.0,0.0,2452.0,2452.0,24.0,2452.0,0.9987184000000422,0.0,0.0,0.0,,,,0.0028226521996354372,0.0025415290604674603,0.007385877426713705,0.0001440202904632315,0.00025,0.0,0.00025,0.00025,0.009959013000000001,0.0046023205,0.019922818999999998,0.006364671999999999,,,,
82,362.0,0.0,2476.0,2476.0,24.0,2476.0,0.9986968000000428,0.0,0.0,0.0,,,,0.003843343404393333,0.002329255270832877,0.0072938743978738785,0.00014322527567856014,0.00025,0.0,0.00025,0.00025,0.011799048000000001,0.003456126,0.015932174,0.00722376,,,,
83,368.0,0.0,2500.0,2500.0,24.0,2500.0,0.9986752000000436,0.0,0.0,0.0,,,,0.002856840692402329,0.0019166456099366735,0.00598732428625226,0.00016227703599724919,0.00025,0.0,0.00025,0.00025,0.009339956,0.0010257217,0.010832981,0.0075279754,,,,
84,374.0,0.0,2524.0,2524.0,24.0,2524.0,0.9986536000000444,0.0,0.0,0.0,,,,0.0012204568023056102,0.0011955354924576556,0.0034602449741214514,0.00014363438822329042,0.00025,0.0,0.00025,0.00025,0.0077756164,0.0012600273,0.009776009,0.006237225999999999,,,,
85,380.0,0.0,2548.0,2548.0,24.0,2548.0,0.998632000000045,0.0,0.0,0.0,,,,0.003259573830291629,0.0020376409213711463,0.007148477248847485,0.0015416016103699806,0.00025,0.0,0.00025,0.00025,0.008746998,0.00438703,0.017780444,0.004428049,,,,
86,386.0,0.0,2572.0,2572.0,24.0,2572.0,0.9986104000000458,0.0,0.0,0.0,,,,0.002779142969908813,0.0010154658311996006,0.004403190687298775,0.0014721828047186134,0.00025,0.0,0.00025,0.00025,0.008464478000000001,0.003322177,0.015590468,0.0050934492999999996,,,,
87,392.0,0.0,2596.0,2596.0,24.0,2596.0,0.9985888000000464,0.0,0.0,0.0,,,,0.00131421319989992,0.0017392385329968556,0.004454432055354118,0.0001194810392917134,0.00025,0.0,0.00025,0.00025,0.007854630999999999,0.002600023,0.013655348000000001,0.006391629,,,,
88,398.0,0.0,2620.0,2620.0,24.0,2620.0,0.9985672000000472,0.0,0.0,0.0,,,,0.0021012177955223397,0.001850824572029027,0.00462380051612854,0.00010864435171242803,0.00025,0.0,0.00025,0.00025,0.0089926785,0.0033295047,0.014365134,0.005894224,,,,
89,404.0,0.0,2644.0,2644.0,24.0,2644.0,0.998545600000048,0.0,0.0,0.0,,,,0.003087873345066328,0.00174175324441437,0.0047305733896791935,9.577003947924824e-05,0.00025,0.0,0.00025,0.00025,0.009294097,0.0031879365000000003,0.013774758,0.0058406806,,,,
90,410.0,0.0,2668.0,2668.0,24.0,2668.0,0.9985240000000486,0.0,0.0,0.0,,,,0.0025473401037743315,0.001776221456771561,0.005789339542388916,0.00014289296814240515,0.00025,0.0,0.00025,0.00025,0.0077209207,0.0025614384,0.013337536,0.0059456215000000005,,,,
91,416.0,0.0,2692.0,2692.0,24.0,2692.0,0.9985024000000492,0.0,0.0,0.0,,,,0.0022778769489377733,0.0006672700141179817,0.0030387267470359802,0.0015207699034363034,0.00025,0.0,0.00025,0.00025,0.0076399282999999995,0.0020670001000000003,0.011790407,0.0059660925,,,,
92,422.0,0.0,2716.0,2716.0,24.0,2716.0,0.99848080000005,0.0,0.0,0.0,,,,0.0026568192697595805,0.0013506772015886785,0.004456504713743925,0.00017249753000214696,0.00025,0.0,0.00025,0.00025,0.009287070500000001,0.0014720431,0.012010225,0.007398379,,,,
93,428.0,0.0,2740.0,2740.0,24.0,2740.0,0.9984592000000508,0.0,0.0,0.0,,,,0.002304959528070564,0.0013175166842743409,0.004264151677489282,0.0001271971850655973,0.00025,0.0,0.00025,0.00025,0.007928957,0.0015462417,0.010939023999999999,0.0061913556,,,,
94,434.0,0.0,2764.0,2764.0,24.0,2764.0,0.9984376000000514,0.0,0.0,0.0,,,,0.003479711653199047,0.0012642697758798644,0.005672209430485964,0.0015632481081411242,0.00025,0.0,0.00025,0.00025,0.009436705,0.0026032995,0.013292468,0.0056502908,,,,
95,447.0,0.0,2816.0,2816.0,52.0,2816.0,0.9983908000000531,1.0,1.0,0.0,,,,0.0015782243516206595,0.0012371797980333778,0.00440448522567749,8.261199400294572e-05,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.007626145,0.0019931041,0.013532057,0.0051349640000000005,,,,
96,453.0,0.0,2840.0,2840.0,24.0,2840.0,0.9983692000000536,0.0,0.0,0.0,,,,0.0027544452495931178,0.0015226004103634865,0.004714136011898518,0.00011338319018250333,0.00025,0.0,0.00025,0.00025,0.009283826,0.003483258,0.015028373999999999,0.0056097163,,,,
97,459.0,0.0,2864.0,2864.0,24.0,2864.0,0.9983476000000544,0.0,0.0,0.0,,,,0.0013536572975378176,0.0013499212818239422,0.003145384369418025,7.655743684154004e-05,0.00025,0.0,0.00025,0.00025,0.0068631493,0.001290831,0.008877747,0.005145601,,,,
98,465.0,0.0,2888.0,2888.0,24.0,2888.0,0.9983260000000552,0.0,0.0,0.0,,,,0.002578972082119435,0.001127246612679727,0.0046787657774984845,0.0015628375113010404,0.00025,0.0,0.00025,0.00025,0.0074686366,0.0013295922,0.009774514,0.005791303,,,,
