Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
37,1.0,0.0,24.0,1.0,24.0,1049.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0005723323,0.0,0.0005723323,0.0005723323,1.3856583,2.1853604e-05,1.3857026000000001,1.385624,-0.0003817236516624689,0.0009080940430556633,0.0014046570286154747,-0.002236897125840187,0.013403651,0.0011351997,0.01583843,0.011400916,4.851739e-07,0.0,4.851739e-07,4.851739e-07,-0.0005360570500000001,0.0,-0.0005360570500000001,-0.0005360570500000001
38,3.0,0.0,24.0,1.0,24.0,1073.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0012004422,0.0,0.0012004422,0.0012004422,1.385592,3.2543707e-05,1.3856391000000001,1.3855488,-0.0009325628634542227,0.000635228200029351,7.942505180835724e-05,-0.0026645176112651825,0.012995968,0.00063718477,0.013948883,0.0117835505,6.365941000000001e-07,0.0,6.365941000000001e-07,6.365941000000001e-07,-0.0013056680999999999,0.0,-0.0013056680999999999,-0.0013056680999999999
39,5.0,0.0,24.0,1.0,24.0,1097.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00016695072,0.0,0.00016695072,0.00016695072,1.3855935,1.9874476e-05,1.3856297,1.3855483999999998,-0.00010841842740774154,0.0008324523142747199,0.0016436688601970673,-0.0019302582368254664,0.0058355145,0.001068632,0.007912266999999999,0.0035531767999999997,3.523657e-07,0.0,3.523657e-07,3.523657e-07,-0.00015000097,0.0,-0.00015000097,-0.00015000097
40,8.0,0.0,43.0,1.0,43.0,1140.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,0.37952033,0.376286,0.7558063,0.0032343327,1.3855464,4.5682606e-05,1.3856335,1.3854309999999999,0.2834013614396099,0.4355979241994974,1.002280592918396,-0.004686363972723484,0.008678406500000001,0.008101569,0.017698813,-0.0005826647400000001,0.13503094,0.13502724,0.27005818,3.6886172e-06,0.3931372,0.39669976,0.78983694,-0.0035625590000000003
41,10.0,0.0,24.0,1.0,24.0,1164.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00525881,0.0,0.00525881,0.00525881,1.3853618,2.3050243e-05,1.3854065,1.3853191999999999,-0.0041473709046840656,0.001965545089437291,-0.0005242712795734407,-0.007108282297849654,0.03997318,0.00047004124000000005,0.040749196,0.039248515,1.0532023999999999e-05,0.0,1.0532023999999999e-05,1.0532023999999999e-05,-0.005736936,0.0,-0.005736936,-0.005736936
42,12.0,0.0,24.0,1.0,24.0,1188.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0072842855,0.0,0.0072842855,0.0072842855,1.3853145,2.052612e-05,1.3853465,1.3852782,-0.005385199561715126,0.0028465301734333947,-9.431317448616028e-05,-0.009883522987365723,0.05586046,0.00055579457,0.05708419,0.054881208,1.8551553e-05,0.0,1.8551553e-05,1.8551553e-05,-0.007427990400000001,0.0,-0.007427990400000001,-0.007427990400000001
43,14.0,0.0,24.0,1.0,24.0,1212.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00804153,0.0,0.00804153,0.00804153,1.3852652,1.6189711e-05,1.3852935,1.3852286,-0.006393989361822605,0.003204323582519136,-0.00047813355922698975,-0.011881794780492784,0.065004274,0.0005223247,0.06598873400000001,0.06385994,2.5575393e-05,0.0,2.5575393e-05,2.5575393e-05,-0.008806801999999999,0.0,-0.008806801999999999,-0.008806801999999999
44,16.0,0.0,24.0,1.0,24.0,1236.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.008477879,0.0,0.008477879,0.008477879,1.3852838,1.6146863e-05,1.3853137,1.3852456,-0.006566897593438625,0.003267528030076795,-0.0007897764444351196,-0.012306071817874908,0.066760585,0.0005377854,0.067734264,0.06568212,2.6900445e-05,0.0,2.6900445e-05,2.6900445e-05,-0.008962914,0.0,-0.008962914,-0.008962914
45,18.0,0.0,24.0,1.0,24.0,1260.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.007874687,0.0,0.007874687,0.007874687,1.3853254,1.4632809e-05,1.3853536,1.3852905,-0.006265534088015556,0.003161304780645306,-0.0007991716265678406,-0.011955853551626205,0.064193666,0.0005979044,0.065201156,0.062916175,2.4625382e-05,0.0,2.4625382e-05,2.4625382e-05,-0.0086049205,0.0,-0.0086049205,-0.0086049205
46,20.0,0.0,24.0,1.0,24.0,1284.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.007104757,0.0,0.007104757,0.007104757,1.3853263999999998,1.4410627e-05,1.38535,1.3852961000000001,-0.0057472424581646924,0.002910221973615528,-0.0007351934909820558,-0.010917820036411284,0.05710245,0.0005121545,0.05794284,0.05587307,2.0750093e-05,0.0,2.0750093e-05,2.0750093e-05,-0.007900514,0.0,-0.007900514,-0.007900514
