Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
15,0.0,1.0,3690.0,15.0,50.0,750.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,3936.0,16.0,50.0,800.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,4182.0,17.0,50.0,850.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,4428.0,18.0,50.0,900.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,4674.0,19.0,50.0,950.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,4920.0,20.0,50.0,1000.0,0.1,,,0.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,5166.0,21.0,50.0,1050.0,0.1,,,1.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40.0,0.0,5412.0,22.0,50.0,1100.0,0.1,-50.0,-50.0,1.0,,,,5.296290595084429,2.2893428850732573,8.746456012129784,0.7268723249435425,0.001,0.0,0.001,0.001,0.53973085,0.5138821,2.5483877999999995,0.11812876,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,-0.42113382,0.14086957,0.0037096666999999997,-0.70057255,-0.717547636613476,0.4280017772450752,0.0,-1.0568074770271778,-0.021987209838255015,0.3271449549804721,0.9814501104952102,-0.9372007403745176
23,80.0,0.0,5658.0,23.0,50.0,1150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,-1.1129886,0.21309663,-0.8393187,-1.6379042,,,,,-0.05812354546394169,0.3678338373330143,0.9568684479780788,-0.94501333674486
24,120.0,0.0,5904.0,24.0,50.0,1200.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,-0.4935912,0.17944519,-0.20228416,-0.98352563,,,,,-0.06870607061323714,0.4116771074030619,0.9849893537921456,-0.9840788640688172
25,160.0,0.0,6150.0,25.0,50.0,1250.0,0.1,-18.0,-18.0,0.0,,,,,,,,,,,,,,,,-7.021549661084807,2.2640873178020837,-1.0,-11.20250034583182,,,,,,,,,,,,,,,,,,,,,-0.49215898,0.11896572,-0.3422538,-0.8189869000000001,,,,,0.022466208937809103,0.4552568668915634,0.987263401987896,-1.1463567000275712
26,200.0,0.0,6396.0,26.0,50.0,1300.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,-18.84431432426873,9.007305717332294,-1.0,-31.79151599564413,,,,,,,,,,,,,,,,,,,,,-0.730468,0.10227119999999999,-0.5045821,-1.024632,,,,,0.1017491846298687,0.503587579001498,1.2181999535437935,-0.98098311874754
27,240.0,0.0,6642.0,27.0,50.0,1350.0,0.1,-22.0,-22.0,1.0,,,,,,,,,,,,,,,,-8.043569130166532,3.42676211162787,0.0,-14.241255989625973,,,,,,,,,,,,,,,,,,,,,-0.24913734,0.23815875,0.13433989999999998,-1.0395923,,,,,-0.007365831086346086,0.5611135343076992,1.2796269877097026,-1.0903126198797009
28,280.0,0.0,6888.0,28.0,50.0,1400.0,0.1,-46.0,-46.0,1.0,,,,,,,,,,,,,,,,-18.42457119517945,8.501000301556264,-1.0,-29.025517270229805,,,,,,,,,,,,,,,,,,,,,-0.23000675,0.21222842,0.07092521,-1.0973043,,,,,-0.021628662257552413,0.4889139716208382,1.2069031398888987,-1.3513396614528386
29,320.0,0.0,7134.0,29.0,50.0,1450.0,0.1,-10.0,-10.0,1.0,,,,,,,,,,,,,,,,-1.9205904431818472,1.9247123976872629,0.0,-8.24429546614097,,,,,,,,,,,,,,,,,,,,,-0.4318879,0.29296252,-0.08174917,-1.3452018,,,,,-0.1027019783837026,0.635421706472058,1.2487024362886363,-1.3700679710705503
30,360.0,0.0,7380.0,30.0,50.0,1500.0,0.1,-6.0,-6.0,0.0,,,,,,,,,,,,,,,,-1.89612007609779,1.0671118093583771,-0.6411706960735924,-4.187632575410417,,,,,,,,,,,,,,,,,,,,,-0.15737256,0.31798708,0.08262277,-1.3290857,,,,,-0.05726037996460419,0.5711578046110676,1.2350722592333367,-1.1137567938685236
31,400.0,0.0,7626.0,31.0,50.0,1550.0,0.1,-5.0,-5.0,1.0,,,,,,,,,,,,,,,,-1.1852243974108685,1.0716203691741966,0.0,-3.892628165907276,,,,,,,,,,,,,,,,,,,,,-0.2160326,0.26041555,0.026945268999999997,-1.2782738,,,,,-0.09242587860563764,0.5828108708024793,1.1885081212599584,-1.1522813714848863
32,440.0,0.0,7872.0,32.0,50.0,1600.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-1.8377865098752253,1.8714329915833543,0.0,-6.287972949106911,,,,,,,,,,,,,,,,,,,,,-0.28619424,0.38703203,0.06853334,-1.4088626,,,,,-0.079584058940142,0.6400296090181359,1.2675477095935646,-1.3008078536917294
