Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
27,240.0,0.0,6642.0,27.0,50.0,1350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3887163,0.12020039,-0.10681721599999999,-0.5871491999999999,,,,,0.02882614925213468,0.7245312611329325,1.414451093509742,-1.3259532360525004
28,280.0,0.0,6888.0,28.0,50.0,1400.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08946984,0.036168184,-0.04535828,-0.19107908,,,,,-0.06379664108911927,0.6124231384143561,1.1417325493151642,-1.434773825976917
29,320.0,0.0,7134.0,29.0,50.0,1450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24765486,0.15735027,-0.06830712,-0.66274416,,,,,0.3411059991054933,0.7470399747270603,1.3737038443238658,-1.3058005285253458
30,360.0,0.0,7380.0,30.0,50.0,1500.0,0.1,-45.0,-45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47853696,0.17921549,0.04704136,-0.620168,,,,,0.016244398959793925,0.8505796629281135,1.6498611085007715,-1.3084653584859094
31,400.0,0.0,7626.0,31.0,50.0,1550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9223978999999999,0.09895678599999999,-0.7069314,-1.1365553,,,,,-0.3307199870225228,0.7301158053509997,1.1335083099505938,-1.3476448528721057
32,440.0,0.0,7872.0,32.0,50.0,1600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0253412,0.027820772,-0.9528443999999999,-1.1011435,,,,,-0.02630630283170528,0.7273559432151919,1.7432267339596406,-1.3678844942920394
33,480.0,0.0,8118.0,33.0,50.0,1650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7937166999999999,0.056945752,-0.72814316,-0.95869875,,,,,0.0427060223727264,0.6495070552225094,1.3751033320077548,-1.2825470697801584
34,520.0,0.0,8364.0,34.0,50.0,1700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3304938,0.07710761,-1.1769803,-1.4846857,,,,,-0.3367912392790257,0.8604408859359818,1.4170751078702792,-1.5739572669313346
35,560.0,0.0,8610.0,35.0,50.0,1750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22455922,0.12441484,-0.06715275,-0.53386915,,,,,-0.15431741713683755,0.8108148196066268,1.3198284880850988,-1.4052889829358401
36,600.0,0.0,8856.0,36.0,50.0,1800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6364688,0.11232845,-1.4239153999999998,-1.8007768,,,,,0.12538768773706116,0.7773826034465258,1.4270365165578809,-1.3059165236608286
