Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
23,0.0,1.0,530.0,23.0,17.0,530.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.342586169660524,3.5972282755401066,11.655314464587386,0.3127874388970675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,549.0,24.0,19.0,549.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.616573504545824,4.940194508984817,16.604117887860678,0.6366099352544409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,574.0,25.0,25.0,574.0,0.0,,,0.0,,,,,,,,,,,,,,,,15.911067682362681,7.353253353556702,26.56173048168582,1.522081240153912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,587.0,26.0,13.0,587.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.643661203836143,3.698659979875989,13.253609904359903,1.3116155132895202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,608.0,27.0,21.0,608.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.214598708769635,4.232832552578322,14.808911142359483,0.6724089199426311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,618.0,28.0,10.0,618.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.641465086860359,1.923509954893601,6.893619465844773,0.6867584148349725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,640.0,29.0,22.0,640.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.9912728918300548,3.6219328413386,9.522160215086034,-1.626644182173712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,653.0,30.0,13.0,653.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.862142798232375,2.5984252326970823,9.374818345311445,0.7763175921468011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,668.0,31.0,15.0,668.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.8194785964432527,3.2361657669765598,9.43777745336668,-0.12561880019859942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,687.0,32.0,19.0,687.0,0.0,,,0.0,,,,,,,,,,,,,,,,10.858865353901095,5.467714525291249,19.06255729692779,1.1493968566031536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,707.0,33.0,20.0,707.0,0.0,,,0.0,,,,,,,,,,,,,,,,6.683532552827747,4.140795929483716,14.121099278363204,0.7130054574672321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,730.0,34.0,23.0,730.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.2268630582094662,2.241282259788747,6.722739252206602,-0.6901768563908945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,748.0,35.0,18.0,748.0,0.0,,,0.0,,,,,,,,,,,,,,,,6.286256038027468,3.8973221567944663,13.20183733089751,0.503174338223436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,764.0,36.0,16.0,764.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.3573850442372417,2.8494186233879786,8.734287888427174,0.03318852071864545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,781.0,37.0,17.0,781.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.642243521126906,4.602981555940215,15.806713949707525,0.8783441449232209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,804.0,38.0,23.0,804.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.992936676704224,4.9118094852302026,14.78543532137616,0.02032559775567266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,821.0,39.0,17.0,821.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.4573018181835655,3.7252330837591963,11.100201818284354,-0.02621473711885151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,836.0,40.0,15.0,836.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.952674664741548,3.409547337997913,11.855037054618707,0.8054827669617615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,864.0,41.0,28.0,864.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.945542951911173,3.953550208304895,14.185861165653131,0.4056613362572218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,911.0,42.0,47.0,911.0,0.0,,,0.0,,,,,,,,,,,,,,,,25.78559302588077,11.97645805821729,41.161582421058384,1.4336418052847115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,925.0,43.0,14.0,925.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.3618055940160465,2.7728234329837167,8.393834599374205,0.0013530244725243694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,953.0,44.0,28.0,953.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.79027733205079,5.618238792296419,18.446762905900407,0.3818928131828495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,967.0,45.0,14.0,967.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.238980276910337,2.6601120128930007,8.129155544131255,0.021636627620762808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,1010.0,46.0,43.0,1010.0,0.0,,,0.0,,,,,,,,,,,,,,,,20.545273063493,10.864811817257529,37.262088456578496,1.1898941819840578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
