Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
72,592.0,0.0,1636.0,1636.0,27.0,1636.0,0.9412930000000236,27.0,27.0,1.0,,,,0.21907679536021674,0.1446203946093566,0.5960876941680908,0.04362986981868744,0.00025,0.0,0.00025,0.00025,3.0670523999999997,1.4423834999999998,7.4499826,0.7527013000000001,4.609542,1.1322919,5.859817,3.2371721
73,608.0,0.0,1652.0,1652.0,16.0,1652.0,0.9397090000000242,16.0,16.0,0.0,,,,0.43203914302090796,0.4288471192774202,1.5358080863952637,0.024164820089936256,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,6.5979532999999995,6.590636,19.404257,0.99230516,5.5626926,0.20292488,5.816186,5.250921
74,628.0,0.0,1672.0,1672.0,20.0,1672.0,0.937729000000025,20.0,20.0,0.0,,,,0.38424599523607056,0.31117575254912216,1.1611138582229614,0.045869074761867516,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,7.1837277,3.3883827000000006,14.957131,2.382852,1.9455578000000002,0.09476489,2.0403227999999998,1.8507930000000001
75,679.0,0.0,1723.0,1723.0,51.0,1723.0,0.9326800000000269,51.0,51.0,0.0,,,,0.3028936194255948,0.22072951999766344,0.9227668046951294,0.016036788001656532,0.00025,0.0,0.00025,0.00025,4.4449553,2.5098057000000003,11.056616,0.53126955,6.3407245,0.7032776,6.935492999999999,4.3640075
76,700.0,0.0,1744.0,1744.0,21.0,1744.0,0.930601000000028,21.0,21.0,1.0,,,,0.309437320381403,0.2298659558086422,0.7383756041526794,0.037905432283878326,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,4.397443,1.7677851000000002,10.2698965,2.18155,,,,
77,737.0,0.0,1781.0,1781.0,37.0,1781.0,0.9269380000000292,37.0,37.0,0.0,,,,0.4410501131787896,0.3084728962386182,1.3053103685379028,0.058577988296747215,0.00025,0.0,0.00025,0.00025,9.036598,5.560069599999999,25.125326,2.4001662999999995,8.396271,0.20097256,8.597242999999999,8.195298
78,756.0,0.0,1800.0,1800.0,19.0,1800.0,0.92505700000003,19.0,19.0,0.0,,,,0.3354467532287041,0.32037014133980485,1.162405252456665,0.041837595403194434,0.00025,0.0,0.00025,0.00025,5.431568,2.945801,14.361457999999999,2.0496783,7.305532,0.54081225,7.835014999999999,6.457071
79,767.0,0.0,1811.0,1811.0,11.0,1811.0,0.9239680000000304,11.0,11.0,0.0,,,,0.17603390365839006,0.1875440412884369,0.7127382159233093,0.03596162050962448,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,4.0233793,1.5755629999999998,7.026527400000001,2.250225,7.7255034,0.04098034,7.766483999999999,7.6845229999999995
80,781.0,0.0,1825.0,1825.0,14.0,1825.0,0.9225820000000312,14.0,14.0,0.0,,,,0.3097397776750418,0.2777314781372511,1.070549249649048,0.045122399926185615,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,4.487513,1.2131863,6.7305082999999994,2.4182396,,,,
81,797.0,0.0,1841.0,1841.0,16.0,1841.0,0.9209980000000316,16.0,16.0,1.0,,,,0.32045450136065484,0.354231044378813,1.1587026119232178,0.049098651856184006,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,7.269697,4.8554699999999995,23.425718,2.6924064,7.7240844,0.26899576,7.99308,7.4550886
82,818.0,0.0,1862.0,1862.0,21.0,1862.0,0.9189190000000326,21.0,21.0,0.0,,,,0.5954061444848776,0.4058752412613509,1.6449745893478394,0.1135946288704872,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,12.013598,6.330123,27.031187,1.5553428,7.5617037,0.20714664,7.7688502999999995,7.354557000000001
83,853.0,0.0,1897.0,1897.0,35.0,1897.0,0.9154540000000341,35.0,35.0,1.0,,,,0.3860724489478504,0.3361424718766046,1.6873130798339844,0.031292639672756195,0.00025,0.0,0.00025,0.00025,6.9830527,2.8952067,15.539522,2.125897,8.401828,0.53770983,9.002467999999999,7.358438499999999
84,908.0,0.0,1952.0,1952.0,55.0,1952.0,0.9100090000000362,55.0,55.0,0.0,,,,0.3548102354699815,0.3466261668167228,2.0855391025543213,0.044993147253990166,0.00025,0.0,0.00025,0.00025,8.065315,5.2595043,26.188715,1.7522976000000003,7.6900053,1.1594812,8.749185,4.9832373
85,925.0,0.0,1969.0,1969.0,17.0,1969.0,0.9083260000000368,17.0,17.0,0.0,,,,0.7115867529064417,0.4064601484168234,1.5894275903701782,0.13246127963066098,0.00025,0.0,0.00025,0.00025,15.012663,5.831848,31.585102000000003,6.8317204,9.525708,0.11519337,9.640902,9.410515
86,937.0,0.0,1981.0,1981.0,12.0,1981.0,0.9071380000000372,12.0,12.0,0.0,,,,0.4337075684558261,0.6240279798309006,2.3006467819213867,0.060538835823535926,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,9.174747,4.273214299999999,17.53515,2.8160207,7.858299000000001,0.5581136,8.416412,7.300185000000001
87,961.0,0.0,2005.0,2005.0,24.0,2005.0,0.9047620000000384,24.0,24.0,0.0,,,,0.3409455182111781,0.330099755449674,1.280644178390503,0.09394992142915726,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,7.738025,3.1065164000000003,14.881696,2.0061462,9.54991,0.2801113,9.830021,9.269798
88,971.0,0.0,2015.0,2015.0,10.0,2015.0,0.9037720000000388,10.0,10.0,0.0,,,,0.3240586279167069,0.2683772378566963,0.9715856313705444,0.08078145235776901,0.00025,0.0,0.00025,0.00025,6.6851783,2.0441377,9.578883,3.5831847000000003,3.4306686,0.6244042,4.055073,2.8062644
89,990.0,0.0,2034.0,2034.0,19.0,2034.0,0.9018910000000394,19.0,19.0,1.0,,,,0.1662491499963734,0.19569130989563105,0.9220835566520692,0.038845982402563095,0.00025,0.0,0.00025,0.00025,5.3853860000000005,3.8455932,18.479979,1.9518819,9.260088,0.60975444,9.744903,7.9656553
