Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
30,0.0,1.0,16.0,1.0,16.0,662.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04044747932477151,0.02128626449475752,0.07427111445256218,0.005,,,,,,,,,,,,
31,0.0,1.0,33.0,1.0,33.0,695.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07659579889741265,0.040481812190667515,0.1411347337008624,0.005,,,,,,,,,,,,
32,0.0,1.0,14.0,1.0,14.0,709.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,,,,,,,,,,,,
33,0.0,1.0,16.0,1.0,16.0,725.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04044747932477151,0.02128626449475752,0.07427111445256218,0.005,,,,,,,,,,,,
34,0.0,1.0,13.0,1.0,13.0,738.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,
35,0.0,1.0,31.0,1.0,31.0,769.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,,,,,,,,,,,,
36,0.0,1.0,11.0,1.0,11.0,780.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,,,,,,,,,,,,
37,0.0,1.0,22.0,1.0,22.0,802.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,
38,0.0,1.0,25.0,1.0,25.0,827.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.060086291610310615,0.031865394096605694,0.1110893203004266,0.005,,,,,,,,,,,,
39,0.0,1.0,20.0,1.0,20.0,847.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,,,,,,,,,,,,
40,0.0,1.0,22.0,1.0,22.0,869.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,
41,0.0,1.0,49.0,1.0,49.0,918.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.10714904809952716,0.05572457288807522,0.19444138023356733,0.005,,,,,,,,,,,,
42,0.0,1.0,14.0,1.0,14.0,932.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,,,,,,,,,,,,
43,0.0,1.0,22.0,1.0,22.0,954.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,
44,0.0,1.0,12.0,1.0,12.0,966.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,,,,,,,,,,,,
45,0.0,1.0,20.0,1.0,20.0,986.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,,,,,,,,,,,,
46,0.0,1.0,10.0,1.0,10.0,996.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,,,,,,,,,,,,
47,0.0,1.0,17.0,1.0,17.0,1013.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
48,0.0,1.0,32.0,1.0,32.0,1045.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07457895718480484,0.039443078440873545,0.13750983202107314,0.005,,,,,,,,,,,,
49,0.0,0.0,22.0,1.0,22.0,1067.0,0.0,0.11000000000000004,22.0,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,0.6827503,0.014980286,0.6931411999999999,0.6378243,,,,,,,,
