Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
27,240.0,0.0,6642.0,27.0,50.0,1350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28557178,0.09557008,-0.16684286,-0.5921599,,,,,0.4798781841425885,0.5957318770114575,1.5607856782472738,-1.220341811018586
28,280.0,0.0,6888.0,28.0,50.0,1400.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0927870000000002,0.14890511,-0.8509434000000001,-1.5763222,,,,,0.12719784501650902,0.7456561799631807,1.4975097446947108,-1.4641042763334025
29,320.0,0.0,7134.0,29.0,50.0,1450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3643087999999999,0.10950014,-1.0941208999999998,-1.4893769,,,,,0.4193952963658373,0.6521843701728942,1.6148630741913106,-0.9945747161433748
30,360.0,0.0,7380.0,30.0,50.0,1500.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5155633,0.045887053,-0.35278046,-0.5988965,,,,,0.2816116586317056,0.689044880841262,1.6317600123475122,-0.982814891819228
31,400.0,0.0,7626.0,31.0,50.0,1550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7710592,0.08266939,-0.6420023,-1.0463631,,,,,-0.07599210901949084,0.4429876636381297,1.0781351428249963,-0.9913504469598621
32,440.0,0.0,7872.0,32.0,50.0,1600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8011199999999999,0.12800388,-0.62855566,-1.2697971000000001,,,,,-0.002465219956554119,0.8205522716046831,1.7414143355259553,-1.4012472685010882
33,480.0,0.0,8118.0,33.0,50.0,1650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47368646,0.20456177,-0.28863132,-1.0520475,,,,,0.24385729591197985,0.6192638409109721,1.2812154940359228,-1.0512816113519543
34,520.0,0.0,8364.0,34.0,50.0,1700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.219136,0.053860902999999995,-1.1368707,-1.3531598999999999,,,,,0.0905389619717082,0.7208744486293496,1.3643649323560578,-1.384495372765044
35,560.0,0.0,8610.0,35.0,50.0,1750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3593764,0.08971794,-0.21485520000000002,-0.54879546,,,,,0.5158614518339961,0.6401061734463729,1.6099265396264086,-1.0954484526644857
36,600.0,0.0,8856.0,36.0,50.0,1800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93043077,0.15390520000000002,-0.6938397,-1.3470771000000001,,,,,0.30595725253497663,0.8453891403089931,1.466671620528485,-1.382858070338958
37,640.0,0.0,9102.0,37.0,50.0,1850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4049832,0.12626962,-1.0451040999999999,-1.7146976999999999,,,,,-0.10192604543564908,0.7247169635250711,1.4187874324690763,-1.290053354251374
38,680.0,0.0,9348.0,38.0,50.0,1900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7138813000000002,0.1255459,-1.568185,-2.011444,,,,,-0.33222988911732504,0.8151934275334104,1.4017988881215857,-1.3576600120486697
39,720.0,0.0,9594.0,39.0,50.0,1950.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7718401999999999,0.067058645,-0.6444879,-0.96691054,,,,,0.356836883889091,0.5436290651051428,1.4860271676300367,-1.1150062522025743
40,760.0,0.0,9840.0,40.0,50.0,2000.0,0.1,-17.0,-17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2868978000000002,0.7344510999999999,-0.22319989,-2.121807,,,,,-0.012314180585896306,0.7745664807620193,1.232128912624577,-1.3839130165644242
41,800.0,0.0,10086.0,41.0,50.0,2050.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8084569,0.07961485,-1.68878,-2.0217191999999997,,,,,-0.0004428618459656342,0.8922751877632326,1.3850369902195734,-1.4998322475212638
42,840.0,0.0,10332.0,42.0,50.0,2100.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0965228,0.053562235,-2.0154118999999997,-2.2534842,,,,,0.09386018555793356,0.8101965091267863,1.4699144837464624,-1.4733400258404163
43,880.0,0.0,10578.0,43.0,50.0,2150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0665038,0.14492954,-1.8261753,-2.356067,,,,,0.11813434352220772,0.8144915166243801,1.3985504343613908,-1.4377822052360134
44,920.0,0.0,10824.0,44.0,50.0,2200.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.497834,0.14091316,-2.2165034,-2.72128,,,,,-0.23285923318831556,0.7713087706951615,1.4058052966776564,-1.4166491270219144
45,960.0,0.0,11070.0,45.0,50.0,2250.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.277836,0.09999101,-1.16769,-1.5680801000000002,,,,,0.2362042389630426,0.7800986958349789,1.5194350137845505,-1.6056221372657895
46,1000.0,0.0,11316.0,46.0,50.0,2300.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4571283000000002,0.085096985,-1.3533242,-1.6724086999999999,,,,,-0.14469654772909704,0.6269764656249085,1.379311349540483,-1.3676006578659694
47,1040.0,0.0,11562.0,47.0,50.0,2350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6873052000000004,0.17446919,-2.3933554,-3.013429,,,,,-0.3624111994434959,0.7094947349359445,1.3024590456245442,-1.5401570479281768
