Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
33,0.0,1.0,24.0,1.0,24.0,914.0,0.5,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
34,0.0,1.0,24.0,1.0,24.0,938.0,0.5,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
35,0.0,1.0,14.0,1.0,14.0,952.0,0.5,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
36,0.0,1.0,24.0,1.0,24.0,976.0,0.5,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
37,0.0,1.0,52.0,1.0,52.0,1028.0,0.5,,,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,,,,,,,,
38,4.0,0.0,24.0,1.0,24.0,1052.0,0.4997647999999999,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,-0.00929498,0.06796435,0.09889928,-0.119954936,0.008117073,0.004568533,0.015304986999999999,0.0034048697
39,9.0,0.0,24.0,1.0,24.0,1076.0,0.4995295999999998,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.045055524000000007,0.030957687999999997,0.08460185,-0.013251471,0.0009925155,0.0009468505,0.0025923070000000003,0.00012063845
40,14.0,0.0,24.0,1.0,24.0,1100.0,0.4992943999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06884938,0.029648716000000002,0.11188255,0.019537695,0.0006721711999999999,0.00039917976000000005,0.0011847136,8.976037e-05
41,33.0,0.0,92.0,1.0,92.0,1192.0,0.4983927999999993,2.0,2.0,0.0,,,,,,,,,,,,,,,,0.8534015119977619,0.5441942311137079,1.6757290490602832,0.0,,,,,,,,,0.0883521,0.031793334,0.16701178,0.024985882,0.037204355,0.10620363,0.42501400000000006,4.2778997e-06
42,38.0,0.0,24.0,1.0,24.0,1216.0,0.4981575999999992,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.10529153,0.02016268,0.14370576,0.06913775,0.0015971976999999999,0.0008657581599999999,0.0030072021999999997,0.0007383566999999999
43,43.0,0.0,24.0,1.0,24.0,1240.0,0.4979223999999991,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.07744227,0.01542425,0.10871345,0.048260458,0.00020280163000000002,0.00010186273,0.00030880302000000005,3.9888797e-05
44,46.0,0.0,12.0,1.0,12.0,1252.0,0.4978047999999991,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06129868,0.015126971999999999,0.07984343,0.0353601,0.0009136583,0.00025345644,0.0011671147,0.0006602018
45,57.0,0.0,52.0,1.0,52.0,1304.0,0.4972951999999988,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,0.047512673,0.018140275,0.09560679,0.014123448,0.022385923,0.0626584,0.21034133,0.00030637812
46,62.0,0.0,24.0,1.0,24.0,1328.0,0.4970599999999987,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06633865,0.02474466,0.102005556,0.025801424,0.0005721735,0.00012446971999999999,0.0007720933599999999,0.0004295336
