Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
113,548.0,0.0,18.0,1.0,18.0,3735.0,0.4736183999999886,0.09000000000000001,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.11496852,0.0261346,0.16227797,0.060602233,0.00012676459999999998,1.5725813e-05,0.00013834418,0.00010453138
114,572.0,0.0,119.0,1.0,119.0,3854.0,0.4724521999999881,0.5950000000000004,119.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.13628174,0.026906907999999997,0.17770785,0.000919302,0.0007010985000000001,0.0005862107,0.0026089398,6.895479999999999e-05
115,582.0,0.0,48.0,1.0,48.0,3902.0,0.4719817999999879,0.2400000000000001,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.11180497,0.029976865,0.16963688,0.034682907,0.0003997557,0.00028182907000000003,0.0010732741,0.00014675691999999999
116,586.0,0.0,18.0,1.0,18.0,3920.0,0.4718053999999878,0.09000000000000001,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.13137819,0.047403972999999995,0.19765069,0.050876822,0.002601945,0.0014853326999999998,0.0042995997,0.0006817649
117,595.0,0.0,46.0,1.0,46.0,3966.0,0.4713545999999876,0.2300000000000001,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.14934638,0.02411502,0.1924287,0.06294037400000001,0.0006174202,0.00038817665,0.001231626,0.00018012377
118,600.0,0.0,23.0,1.0,23.0,3989.0,0.4711291999999875,0.11500000000000005,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.12542185,0.041424774,0.16341242,0.035388897999999995,0.0010391122,0.00087326707,0.0024062674,3.6931033e-05
119,614.0,0.0,68.0,1.0,68.0,4057.0,0.4704627999999872,0.3400000000000002,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.14307864,0.017341929,0.16721353,0.07658466,0.00015853887,0.00010309440999999999,0.00040567517999999997,2.4172033999999998e-05
120,618.0,0.0,19.0,1.0,19.0,4076.0,0.4702765999999871,0.095,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.13643473,0.044990264,0.17693838,0.047510203,0.00072383863,0.00056887994,0.0015246736999999998,0.0002568321
121,626.0,0.0,41.0,1.0,41.0,4117.0,0.4698747999999869,0.2050000000000001,41.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.13740453,0.022916934,0.17824872,0.086630635,0.0006465272,0.00055611995,0.0019292769,0.00019055477999999998
122,629.0,0.0,14.0,1.0,14.0,4131.0,0.4697375999999869,0.06999999999999999,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.11656426,0.03984837,0.17025687,0.057354007,0.0005558128,0.00047370294000000004,0.0010295158,8.210985e-05
123,636.0,0.0,36.0,1.0,36.0,4167.0,0.4693847999999867,0.18000000000000008,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.10475665,0.05501314,0.17129092,-0.062034935,0.0008765918300000001,0.00096336316,0.0029099428000000003,0.00015556306
124,639.0,0.0,13.0,1.0,13.0,4180.0,0.4692573999999866,0.06499999999999999,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.124392875,0.047038107999999995,0.1718502,0.010720143,0.0003017508,5.1256124e-05,0.00035300694,0.0002504947
125,664.0,0.0,123.0,1.0,123.0,4303.0,0.4680519999999862,0.6150000000000004,123.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.12786657,0.037782457,0.18771881,0.029181361,0.0005077084,0.0006821358999999999,0.0034079540000000004,3.1929398e-05
126,674.0,0.0,51.0,1.0,51.0,4354.0,0.4675521999999859,0.2550000000000001,51.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.13050747,0.034428,0.1802591,0.049294554000000004,0.00039981247,0.0006360189,0.0020213975,1.1141795e-05
127,685.0,0.0,56.0,1.0,56.0,4410.0,0.4670033999999857,0.2800000000000001,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.16226526,0.037366074,0.20735405,0.056916222,0.00062854,0.0004666126,0.0017547162,0.000115383176
128,707.0,0.0,111.0,1.0,111.0,4521.0,0.4659155999999852,0.5550000000000004,111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.15747663,0.027469137999999997,0.20880945,0.054124817,0.000849102,0.0011129377,0.004450270399999999,1.3125272e-05
129,741.0,0.0,169.0,1.0,169.0,4690.0,0.4642593999999845,0.8450000000000006,169.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.10427395,0.06017213,0.19703156,0.002583336,0.00026631556,0.00028883756,0.0009975309,1.0584813999999999e-05
130,758.0,0.0,82.0,1.0,82.0,4772.0,0.4634557999999842,0.41000000000000025,82.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.18628637,0.021787731,0.21995452,0.11166532,0.00039329525,0.00036477737000000003,0.0011731328,1.1469628e-05
131,780.0,0.0,107.0,1.0,107.0,4879.0,0.4624071999999837,0.5350000000000004,107.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.17714193,0.02577084,0.22788411,0.095871955,0.0006318848,0.0005836605999999999,0.0021861522,4.0815209999999996e-05
132,799.0,0.0,95.0,1.0,95.0,4974.0,0.4614761999999833,0.4750000000000003,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.17551363,0.02634358,0.21045998,0.09250108,0.00024948682,0.00023429401,0.0009047313000000001,1.856182e-05
133,820.0,0.0,105.0,1.0,105.0,5079.0,0.4604471999999829,0.5250000000000004,105.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.19611149,0.021937415,0.23292777,0.099611774,0.00040872087,0.00033213190000000003,0.0012942154,3.757335e-05
134,828.0,0.0,40.0,1.0,40.0,5119.0,0.4600551999999827,0.2000000000000001,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.19110505,0.030791331,0.23262636,0.11828592,0.0005526917,0.0005247133,0.001568266,1.528044e-05
135,843.0,0.0,72.0,1.0,72.0,5191.0,0.4593495999999824,0.3600000000000002,72.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.15951921,0.04948947,0.23225658,-0.028350534,0.0010035686,0.0012231991,0.004378541,1.2533127999999999e-05
136,849.0,0.0,29.0,1.0,29.0,5220.0,0.4590653999999823,0.14500000000000005,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.18185663,0.03442725,0.21249984,0.07597692,0.0009106729400000001,0.0005781672,0.0015934829,0.00020809171999999998
137,861.0,0.0,60.0,1.0,60.0,5280.0,0.45847739999998205,0.30000000000000016,60.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.18190171,0.027842032000000003,0.21800922,0.09750143,0.0005625698999999999,0.00037214722,0.00127341,4.003698e-05
138,876.0,0.0,72.0,1.0,72.0,5352.0,0.4577717999999817,0.3600000000000002,72.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.17016475,0.04596567,0.22561204,-0.029275867999999997,0.0011834133,0.0030202838,0.01196421,2.9031529999999997e-05
139,891.0,0.0,73.0,1.0,73.0,5425.0,0.4570563999999814,0.3650000000000002,73.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.16525264,0.050124273,0.21384984,-0.031541247,0.0020116585999999997,0.0050012344,0.019921795,3.4471304e-05
140,918.0,0.0,134.0,1.0,134.0,5559.0,0.4557431999999808,0.6700000000000005,134.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.18766181,0.030704664,0.22460127,0.025704243999999998,0.00035396974999999997,0.00042484023,0.0018502351999999998,1.6399967e-05
