Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
26,2.0,0.0,75.0,1.0,75.0,1121.0,0.0,-3.650000000000001,-365.0,0.0,,,,,,,,,,,,0.9727608,0.06110558,1.0338664,0.91165525,-1.4644352337581488,0.7339439315979033,-0.04,-2.5774480552337256,1.3860515,0.00012358873,1.3862466,1.3856368000000001,-0.6876928703211775,0.3549063299061968,-0.03406544212251902,-1.2980355774991128,-0.017489735,0.036014225,0.026491603,-0.06240578,0.29944003,0.03275539,0.33219540000000003,0.26668462,-0.95591366,0.04815826,-0.90775543,-1.0040719999999999
27,5.0,0.0,75.0,1.0,75.0,1196.0,0.0,-3.450000000000001,-345.0,0.0,,,,,,,,,,,,1.2581118,0.13536477,1.3934766,1.1227471000000002,-1.3868328053576062,0.6845742076058996,-0.04,-2.4342175716987806,1.3858921999999998,0.00011871281999999999,1.3861371999999998,1.3854761999999998,-0.5947303825358506,0.3345940707777724,-0.04720195472240449,-1.1526881135805298,-0.22460265,0.035648282999999996,-0.17026265,-0.28997886,0.23282874,0.016304076,0.24913281,0.21652466,-0.8228084000000001,0.029968709,-0.7928397,-0.8527771000000001
28,8.0,0.0,75.0,1.0,75.0,1271.0,0.0,-3.6000000000000014,-360.0,0.0,,,,,,,,,,,,2.1448352,0.21698612,2.3618214,1.9278491999999998,-1.4508007965880838,0.7383404384725899,-0.04,-2.5372721237969045,1.3856353000000001,0.00016048207,1.3859477,1.3851133999999998,-0.6044115135117673,0.31980448072348644,-0.03237048625946043,-1.1641442759442304,-0.5152945999999999,0.05857828,-0.4326835,-0.6063467,0.23379408,0.0069435984,0.24073768,0.22685048,-0.8362503000000001,0.013586163500000002,-0.82266414,-0.84983647
29,9.0,0.0,8.0,1.0,8.0,1279.0,0.0,0.71,71.0,0.0,,,,,,,,,,,,,,,,0.8187996850584838,0.11096180499495943,0.99,0.6510060860558801,1.3850995000000002,0.00029449348,1.3854117,1.3845023,,,,,,,,,,,,,,,,
30,10.0,0.0,30.0,1.0,30.0,1309.0,0.0,-0.2700000000000005,-27.0,0.0,,,,,,,,,,,,,,,,0.2994839847082636,0.4094422212550477,0.99,-0.3634799953661404,1.3849491000000003,0.00030817365,1.3857905000000001,1.3844072,,,,,,,,,,,,,,,,
31,11.0,0.0,7.0,1.0,7.0,1316.0,0.0,0.75,75.0,0.0,,,,,,,,,,,,,,,,0.8427701992017128,0.09733842776448526,0.99,0.6979859455109899,1.3844376,0.00021435735000000002,1.3848249,1.3841642,,,,,,,,,,,,,,,,
32,12.0,0.0,12.0,1.0,12.0,1328.0,0.0,0.5,50.0,0.0,,,,,,,,,,,,,,,,0.7001124800547073,0.18529535332458869,0.99,0.4201883862559949,1.3839136,0.00022279687,1.3842131000000002,1.3835713,,,,,,,,,,,,,,,,
33,15.0,0.0,75.0,1.0,75.0,1403.0,0.0,-3.450000000000001,-345.0,0.0,,,,,,,,,,,,2.0363622,0.10665810000000002,2.1430203999999997,1.9297042000000002,-1.369265865172899,0.7111959883623691,-0.04,-2.447525859717499,1.3812213,0.0013550438,1.3832343999999999,1.3783251,-0.5555963867930456,0.3240235260984449,-0.008465119600296056,-1.116762125827068,-0.49131545,0.03631071,-0.4195375,-0.5793291,0.20683926,0.014913863999999999,0.22175314,0.1919254,-0.78440624,0.012443662,-0.7719626,-0.7968499
34,18.0,0.0,75.0,1.0,75.0,1478.0,0.0,-3.450000000000001,-345.0,0.0,,,,,,,,,,,,1.8090990000000002,0.057447492999999995,1.8665464,1.7516513999999999,-1.3575024283183004,0.7077588272234075,-0.04,-2.456437554304317,1.3740525,0.0020085776,1.3771168,1.3693451,-0.6043706286711537,0.3236301707031931,0.0007267808914184769,-1.1548604357639396,-0.38429487,0.018524092,-0.35291582,-0.43279696,0.23500010000000002,0.018976174,0.2539763,0.21602394,-0.83959556,0.03670612,-0.8028894,-0.87630165
35,19.0,0.0,22.0,1.0,22.0,1500.0,0.0,0.04999999999999971,5.0,0.0,,,,,,,,,,,,,,,,0.4815562075918661,0.31082672128710376,0.99,-0.05650744007091967,1.3695110000000001,0.0012722844,1.3717758999999998,1.3668753999999999,,,,,,,,,,,,,,,,
36,20.0,0.0,24.0,1.0,24.0,1524.0,0.0,-0.0800000000000003,-8.0,0.0,,,,,,,,,,,,,,,,0.403556316807528,0.3440664266643693,0.99,-0.17863991518566336,1.3678646,0.0013269975,1.3707171999999999,1.3653586000000002,,,,,,,,,,,,,,,,
37,21.0,0.0,17.0,1.0,17.0,1541.0,0.0,0.2499999999999999,25.0,0.0,,,,,,,,,,,,,,,,0.5898115735835578,0.25400068256832736,0.99,0.15124447726342938,1.3661728000000002,0.0015450168,1.3690844,1.3627798999999998,,,,,,,,,,,,,,,,
38,24.0,0.0,75.0,1.0,75.0,1616.0,0.0,-3.450000000000001,-345.0,0.0,,,,,,,,,,,,1.4933321000000002,0.20490591,1.6982381000000002,1.2884263,-1.384958489474032,0.6941287109725074,-0.04,-2.4356375079742167,1.3648311000000002,0.0018638266,1.3683273,1.3587816000000001,-0.6217977311524496,0.3093968667351659,-0.04485962629318235,-1.1420598952523855,-0.27123123,0.013932982,-0.24738659,-0.31145144,0.24117935,0.007562339300000001,0.24874169,0.23361701,-0.8575722,0.046276093,-0.8112961,-0.9038483
39,25.0,0.0,8.0,1.0,8.0,1624.0,0.0,0.66,66.0,0.0,,,,,,,,,,,,,,,,0.8063621850584837,0.12791883967379586,0.99,0.6015060860558801,1.3625223999999998,0.0013423703,1.3642124,1.3597698,,,,,,,,,,,,,,,,
40,28.0,0.0,75.0,1.0,75.0,1699.0,0.0,-3.450000000000001,-345.0,0.0,,,,,,,,,,,,1.1862059999999999,0.0726217,1.2588277,1.1135843,-1.4255259139481244,0.6700326981823354,-0.09,-2.4049046106453598,1.3616935,0.0017747492999999998,1.3667015,1.3561113,-0.5836533924914756,0.31118481559922306,-0.03619570374488831,-1.111291908912069,-0.22096682,0.013058436000000001,-0.19840747,-0.25205857,0.21874356,0.013718626999999999,0.23246220000000004,0.20502494,-0.79674566,0.03254488,-0.76420075,-0.8292905
41,29.0,0.0,5.0,1.0,5.0,1704.0,0.0,0.83,83.0,0.0,,,,,,,,,,,,,,,,0.89119301998,0.06951828381099465,0.99,0.7933740898999999,1.3567531000000002,0.0014910732000000002,1.3585399999999999,1.3547168,,,,,,,,,,,,,,,,
42,30.0,0.0,16.0,1.0,16.0,1720.0,0.0,0.39,39.0,0.0,,,,,,,,,,,,,,,,0.6326607639785659,0.21458274712896974,0.99,0.2916911896600295,1.354592,0.0023705643,1.359432,1.3512506000000002,,,,,,,,,,,,,,,,
43,33.0,0.0,75.0,1.0,75.0,1795.0,0.0,-3.5000000000000013,-350.0,0.0,,,,,,,,,,,,1.109351,0.10816383,1.2175148999999998,1.0011872,-1.4079434866694935,0.7186833359397115,-0.04,-2.468729681816039,1.3500087,0.0034676045,1.3580433,1.3391429,-0.6291344368273504,0.3433275513427945,-0.02776979744434357,-1.1633310584369967,-0.19857946,0.010014516,-0.17404929,-0.22296779,0.25684193,0.0042878985,0.26112983,0.25255403,-0.840965,0.010637223999999999,-0.83032775,-0.8516021999999999
44,34.0,0.0,17.0,1.0,17.0,1812.0,0.0,0.2499999999999999,25.0,0.0,,,,,,,,,,,,,,,,0.5898115735835578,0.25400068256832736,0.99,0.15124447726342938,1.3413235000000001,0.0035067072999999996,1.3470203,1.3332573,,,,,,,,,,,,,,,,
45,37.0,0.0,75.0,1.0,75.0,1887.0,0.0,-3.5000000000000013,-350.0,0.0,,,,,,,,,,,,1.4313421,0.09000796,1.52135,1.3413341,-1.4236146143217892,0.6714523913572467,-0.09,-2.456857615412785,1.338142,0.0035099209999999996,1.3452488,1.3287653999999998,-0.5798829812066234,0.3277028221349509,-0.035534285902977004,-1.123319604498258,-0.20170243,0.009289363,-0.17653951,-0.22396645,0.22182670000000002,0.0043852106,0.22621190000000002,0.21744148,-0.82275546,0.0026040077,-0.82015145,-0.82535946
46,39.0,0.0,54.0,1.0,54.0,1941.0,0.0,-1.2800000000000014,-128.0,0.0,,,,,,,,,,,,1.1039867,0.0,1.1039867,1.1039867,-0.2065584145480503,0.6543240073955777,0.99,-1.180261066812175,1.3234558,0.0049197883,1.3352453000000002,1.3085866000000002,-0.5753271006033159,0.2859583823010581,-0.035381489396095256,-1.0191702866046917,-0.21929914,0.0061707892,-0.20509626,-0.23363288,0.2063867,0.0,0.2063867,0.2063867,-0.758309,0.0,-0.758309,-0.758309
47,40.0,0.0,13.0,1.0,13.0,1954.0,0.0,0.4600000000000001,46.0,0.0,,,,,,,,,,,,,,,,0.6936545787319209,0.1883724499630964,0.99,0.37356050986348494,1.3174326,0.005460205,1.3238132,1.3037372,,,,,,,,,,,,,,,,
48,43.0,0.0,75.0,1.0,75.0,2029.0,0.0,-3.5000000000000013,-350.0,0.0,,,,,,,,,,,,1.0710514,0.09730837,1.1683598,0.973743,-1.4291871399599567,0.6839306473264216,-0.09,-2.45263600508084,1.316164,0.0062685125,1.3296093999999998,1.2967734,-0.5872761768922671,0.32359823613793864,-0.0218502962589264,-1.18677119950889,-0.22579718,0.0110543305,-0.20238432,-0.2636025,0.22480455,0.032089256000000003,0.2568938,0.19271529999999998,-0.7557908,0.058549315,-0.69724154,-0.8143402
49,46.0,0.0,75.0,1.0,75.0,2104.0,0.0,-3.350000000000002,-335.0,0.0,,,,,,,,,,,,1.2300763000000001,0.29813320000000004,1.5282094,0.93194306,-1.3252972431830623,0.6916081978121936,-0.04,-2.3798253208209106,1.2983876,0.006650196,1.3136108999999998,1.2853860000000001,-0.598701676981401,0.3238437160047684,-0.03286493659019468,-1.1492901293128015,-0.2524758,0.010994418999999998,-0.22999397,-0.28384742,0.23165919,0.014793396,0.24645258,0.2168658,-0.7679184,0.05967080599999999,-0.7082476,-0.8275892
50,49.0,0.0,75.0,1.0,75.0,2179.0,0.0,-3.5000000000000013,-350.0,0.0,,,,,,,,,,,,1.9457401,0.45885240000000005,2.4045925,1.4868877,-1.4131891494839304,0.6996284661833532,-0.09,-2.4647556948354046,1.2620147,0.011600413,1.2830858,1.2218117,-0.6092425633759512,0.3123982812852165,-0.03552673101425169,-1.1439398800768628,-0.31784877,0.018498372,-0.2869525,-0.36288956,0.23438457,0.025658958,0.26004353,0.20872562,-0.8271774,0.01784119,-0.80933625,-0.8450186
