Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
44,71.0,0.0,1313.0,1313.0,24.0,1313.0,0.999717850000006,0.0,0.0,0.0,,,,20.992630553245547,24.295353581562907,50.75874710083008,1.1235411167144775,5e-05,0.0,5e-05,5e-05,7.274437,5.237778700000001,13.962979,2.8975246,,,,
45,77.0,0.0,1337.0,1337.0,24.0,1337.0,0.9996940900000066,0.0,0.0,0.0,,,,30.947343349456787,24.289447939951398,50.98194122314453,1.1808078289031982,5e-05,0.0,5e-05,5e-05,9.496825,4.190304,13.186020999999998,4.087589,,,,
46,90.0,0.0,1389.0,1389.0,52.0,1389.0,0.9996426100000078,1.0,1.0,0.0,,,,17.643954118092857,30.71460522574895,99.74609375,1.1591867208480835,5e-05,0.0,5e-05,5e-05,8.35962,6.6040396999999995,27.443224,4.7258510000000005,,,,
47,96.0,0.0,1413.0,1413.0,24.0,1413.0,0.9996188500000084,0.0,0.0,0.0,,,,20.907618713378906,39.327858192897075,99.56330871582031,1.1997518539428709,5e-05,0.0,5e-05,5e-05,10.255696,9.12779,28.501259,5.137894,,,,
48,102.0,0.0,1437.0,1437.0,24.0,1437.0,0.9995950900000088,0.0,0.0,0.0,,,,11.04591693878174,19.575143975146663,50.196189880371094,1.2395780086517334,5e-05,0.0,5e-05,5e-05,7.3160110000000005,4.376918,16.049329999999998,4.6004705,,,,
49,133.0,0.0,1559.0,1559.0,122.0,1559.0,0.9994743100000114,2.0,2.0,0.0,,,,17.528809968630473,29.12706965230073,99.28004455566406,1.1063069105148315,4.999999999999999e-05,1.3552527156068802e-20,5e-05,5e-05,9.214437,8.094016,38.816646999999996,4.08648,,,,
50,139.0,0.0,1583.0,1583.0,24.0,1583.0,0.999450550000012,0.0,0.0,0.0,,,,1.2528545061747234,0.033518336063509784,1.2925540208816528,1.19617760181427,5e-05,0.0,5e-05,5e-05,4.870444,0.6067365,5.804371,3.8012412,,,,
51,144.0,0.0,1602.0,1602.0,19.0,1602.0,0.9994317400000124,0.0,0.0,0.0,,,,11.04626100063324,19.706564951561848,50.45928573608398,1.1227675676345823,5e-05,0.0,5e-05,5e-05,6.1929274,4.8728065,15.890308,3.1320212000000005,,,,
52,157.0,0.0,1654.0,1654.0,52.0,1654.0,0.9993802600000136,1.0,1.0,0.0,,,,23.91230154037476,36.76836864314589,100.03656768798828,1.1061657667160034,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,8.685111000000001,8.293446000000001,26.710169,2.6590166,,,,
53,163.0,0.0,1678.0,1678.0,24.0,1678.0,0.999356500000014,0.0,0.0,0.0,,,,17.547814428806305,23.139010757388476,50.76877975463867,1.1419802904129028,5e-05,0.0,5e-05,5e-05,8.12738,5.533862,18.615261,4.1395836,,,,
