Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
43,74.0,0.0,1365.0,1365.0,72.0,1365.0,0.0,1.0,1.0,0.0,,,,0.00382770066789817,0.006384453612908918,0.016045978292822838,0.0003037002170458436,0.00025,0.0,0.00025,0.00025,0.0064236214,0.0028054907,0.012195196,0.004138043,,,,
44,76.0,0.0,1374.0,1374.0,9.0,1374.0,5.0,0.0,0.0,0.0,,,,0.00044302346941549336,2.034676435869187e-05,0.0004633702337741852,0.00042267670505680144,0.00025,0.0,0.00025,0.00025,0.004603408,0.00016657216000000001,0.00476998,0.0044368356,,,,
45,89.0,0.0,1426.0,1426.0,52.0,1426.0,1.0,1.0,1.0,0.0,,,,0.00617089766213515,0.007086568174320134,0.016726842150092125,0.0004936230252496898,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.010226942,0.0029364137,0.013704351000000002,0.004754637,,,,
46,95.0,0.0,1450.0,1450.0,24.0,1450.0,8.0,0.0,0.0,0.0,,,,0.004370309389196336,0.005984538585920524,0.016339173540472984,0.0013345371698960662,0.00025,0.0,0.00025,0.00025,0.010772674,0.0018671647,0.014464693,0.009475108000000001,,,,
47,101.0,0.0,1474.0,1474.0,24.0,1474.0,1.0,0.0,0.0,0.0,,,,0.004015962581615896,0.006036246937867952,0.016078589484095573,0.0006063434993848205,0.00025,0.0,0.00025,0.00025,0.009013689,0.0023116206,0.0127222175,0.006156540500000001,,,,
48,107.0,0.0,1498.0,1498.0,24.0,1498.0,3.0,0.0,0.0,0.0,,,,0.0037853446672670545,0.006391593366339478,0.016568390652537346,0.0005565449828281999,0.00025,0.0,0.00025,0.00025,0.007469283,0.0031557747,0.01378064,0.0058542467,,,,
49,113.0,0.0,1522.0,1522.0,24.0,1522.0,8.0,0.0,0.0,0.0,,,,0.004166408418677747,0.006030427988067757,0.016214583069086075,0.0007343579782173038,0.00025,0.0,0.00025,0.00025,0.009183899,0.0022212462,0.011921413999999998,0.006782174,,,,
50,119.0,0.0,1546.0,1546.0,24.0,1546.0,9.0,0.0,0.0,0.0,,,,0.010353254131041469,0.007220748810816874,0.016320833936333656,0.001455062534660101,0.00025,0.0,0.00025,0.00025,0.011660446999999999,0.0010551438,0.012634339,0.0102881,,,,
51,125.0,0.0,1570.0,1570.0,24.0,1570.0,7.0,0.0,0.0,0.0,,,,0.004118064232170582,0.005876943618575517,0.0158707182854414,0.001019730232656002,0.00025,0.0,0.00025,0.00025,0.009026899,0.0011153267999999999,0.011016955,0.007657379000000001,,,,
52,138.0,0.0,1622.0,1622.0,52.0,1622.0,9.0,1.0,1.0,0.0,,,,0.003232931827369612,0.008252328296606772,0.030597621574997905,0.0004746584163513034,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.007035969,0.0021887577999999998,0.013502188,0.0048540276,,,,
53,152.0,0.0,1676.0,1676.0,54.0,1676.0,4.0,1.0,1.0,0.0,,,,0.0015319603217694051,0.004062819075500201,0.015605308115482332,0.00031493513961322606,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.0049988064,0.0016628613,0.010667656999999999,0.0037712521999999997,,,,
54,162.0,0.0,1715.0,1715.0,39.0,1715.0,5.0,1.0,1.0,0.0,,,,0.0018105810828274113,0.004644781908712349,0.015744825825095177,0.0002374132163822651,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.004391545,0.002303604,0.011267353999999999,0.003142173,,,,
55,166.0,0.0,1734.0,1734.0,19.0,1734.0,9.0,0.0,0.0,0.0,,,,0.007945804733026307,0.013388685941878873,0.031135667115449905,0.00018878135597333312,0.00025,0.0,0.00025,0.00025,0.0077242493,0.007825694000000001,0.021277077000000002,0.0030552070000000003,,,,
56,172.0,0.0,1758.0,1758.0,24.0,1758.0,1.0,0.0,0.0,0.0,,,,0.003245494482689537,0.0061565145575903655,0.015558511018753053,0.00015164837532211095,0.00025,0.0,0.00025,0.00025,0.0044951425,0.0031011088000000003,0.010685628,0.0027098453000000003,,,,
