Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min
14,0.0,1.0,531.0,14.0,75.0,531.0,0.5,,,0.0,,,,,,,,,,,,,,,,-141.31846016799287,68.73089096339329,-4.0,-241.4254089636417
15,0.0,1.0,535.0,15.0,4.0,535.0,0.5,,,0.0,,,,,,,,,,,,,,,,91.56477525,5.523422867125757,99.0,84.17920099999998
16,0.0,1.0,604.0,16.0,69.0,604.0,0.5,,,0.0,,,,,,,,,,,,,,,,-59.19519221300213,83.80512135465513,96.01,-188.03567411417015
17,0.0,1.0,634.0,17.0,30.0,634.0,0.5,,,0.0,,,,,,,,,,,,,,,,24.450353672843228,44.387031797498466,99.0,-44.78293545641712
18,0.0,1.0,709.0,18.0,75.0,709.0,0.5,,,0.0,,,,,,,,,,,,,,,,-141.70517126690208,73.12708685808927,-4.0,-251.2334561109327
19,0.0,1.0,746.0,19.0,37.0,746.0,0.5,,,0.0,,,,,,,,,,,,,,,,9.360214765701393,47.1423598403253,96.01,-68.14472673061566
20,0.0,1.0,752.0,20.0,6.0,752.0,0.5,,,0.0,,,,,,,,,,,,,,,,82.26434579505,10.5527077225185,97.0,67.74155480030001
21,0.0,1.0,761.0,21.0,9.0,761.0,0.5,,,0.0,,,,,,,,,,,,,,,,78.39326117403546,14.001209986736805,99.0,55.49960251953212
22,0.0,1.0,836.0,22.0,75.0,836.0,0.5,,,0.0,,,,,,,,,,,,,,,,-137.8242175825955,70.69869213458422,-4.0,-244.07256243742756
23,0.0,1.0,902.0,23.0,66.0,902.0,0.5,,,0.0,,,,,,,,,,,,,,,,-54.42280849950666,82.9023485115816,99.0,-176.84944079830865
24,0.0,1.0,905.0,24.0,3.0,905.0,0.5,,,0.0,,,,,,,,,,,,,,,,94.02663333333334,4.053963410732211,99.0,89.0699
25,0.0,1.0,909.0,25.0,4.0,909.0,0.5,,,0.0,,,,,,,,,,,,,,,,91.56477525,5.523422867125757,99.0,84.17920099999998
26,0.0,1.0,984.0,26.0,75.0,984.0,0.5,,,0.0,,,,,,,,,,,,,,,,-142.71642638668678,71.52798320591751,-4.0,-250.46735374745938
27,0.0,1.0,993.0,27.0,9.0,993.0,0.5,,,0.0,,,,,,,,,,,,,,,,67.91537963119279,27.36940757923588,96.01,-1.0
28,0.0,1.0,1000.0,28.0,7.0,1000.0,0.5,,,0.0,,,,,,,,,,,,,,,,84.27701992017128,9.733842776448524,99.0,69.798594551099
29,0.0,1.0,1012.0,29.0,12.0,1012.0,0.5,,,0.0,,,,,,,,,,,,,,,,72.4495751137624,16.38923228472349,99.0,46.7737888750995
30,0.0,1.0,1058.0,30.0,46.0,1058.0,0.5,,,0.0,,,,,,,,,,,,,,,,-12.388710897323215,62.69090801323776,99.0,-111.41534645174877
31,74.0,0.0,1133.0,31.0,75.0,1133.0,0.4962500000000004,-305.0,-305.0,0.0,,,,9960.603634396115,5291.085781054852,22220.396484375,4373.17431640625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,20022.666,9586.197,54684.453,5654.4697,-123.6674766062212,60.86238694778381,-4.0,-214.39332580336762
32,138.0,0.0,1197.0,32.0,64.0,1197.0,0.4930500000000008,-167.0,-167.0,0.0,,,,3902.330291263641,592.2554677206383,5326.50732421875,2738.834228515625,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,8538.035,5641.259,24169.702999999998,1979.2245,-38.329498252782024,70.1323553753411,96.01,-143.90820314971657
33,213.0,0.0,1272.0,33.0,75.0,1272.0,0.4893000000000012,-325.0,-325.0,0.0,,,,3079.636001174514,528.9615626737469,4284.23583984375,2040.4481201171875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,7131.1484,5057.981,25639.234,1522.9253,-124.67693537922966,66.00624469626088,-4.0,-233.83060451068448
34,262.0,0.0,1321.0,34.0,49.0,1321.0,0.4868500000000015,-133.0,-133.0,0.0,,,,2662.116933186849,373.5982906953341,3457.48095703125,1999.41064453125,0.0001,0.0,0.0001,0.0001,7728.178000000001,4439.5635,21621.767999999996,1738.1613,-15.800760463297095,67.43124325416622,99.0,-126.52285593230745
35,337.0,0.0,1396.0,35.0,75.0,1396.0,0.4831000000000018,-350.0,-350.0,0.0,,,,2508.241590345228,502.584987715716,3866.967041015625,1256.488525390625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,7786.7,5039.504,23166.334,991.3501,-135.6397641927771,69.90517476051117,-4.0,-250.7779564196132
36,412.0,0.0,1471.0,36.0,75.0,1471.0,0.4793500000000023,-330.0,-330.0,0.0,,,,2430.6326326937287,465.60058429074735,3924.79296875,1561.873779296875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,10993.886,6560.2715,28755.162,1206.4675,-130.05348839833252,66.31804690487171,-4.0,-234.80796333459648
