Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
11,65.0,0.0,129.0,1.0,129.0,2355.0,0.0,2.0,35.0,0.0,,,,,,,,,,,,0.32959157,0.57944477,1.6227586999999999,0.0041096993,1.7913125,3.9380684000000004e-05,1.7914041,1.7911587,0.1109889512260755,0.3523486446919693,1.774205446243286,-0.10028988122940063,0.43199292,0.034718993999999996,0.49296999999999996,0.36628598,0.068234056,0.15044947,0.4046467,7.9075544e-05,0.19897948,0.5773768,1.4883201000000001,-0.0949464
12,75.0,0.0,191.0,1.0,191.0,2546.0,0.0,4.0,40.0,0.0,,,,,,,,,,,,0.4225352,0.6775805,2.2513857,0.059779733,1.791495,0.00013325585,1.7916543000000003,1.7911868000000002,0.11847425583336088,0.4264647214919365,1.8253250122070312,-0.1066364049911499,0.5212037,0.027739946,0.5839479000000001,0.47885427,0.09795416,0.20981742,0.67588836,0.00068469753,0.21209879,0.58682054,1.7592075,-0.109834686
13,93.0,0.0,351.0,1.0,351.0,2897.0,0.0,5.0,95.0,0.0,,,,,,,,,,,,0.38568458,0.45904168,1.5351628000000002,0.077466995,1.7887247,0.0015851673,1.7910515999999999,1.7858753,0.058787613581208625,0.3055854406512301,0.9763394594192504,-0.14867830276489258,0.5702472,0.046217617,0.6850725000000001,0.45243657,0.04841922,0.08538179,0.24192822,0.0011315718,0.10382083,0.3994303,1.0191318,-0.16043082
14,100.0,0.0,138.0,1.0,138.0,3035.0,0.0,1.0,20.0,0.0,,,,,,,,,,,,0.28526443,0.26200098,0.86918455,0.13711369,1.7866485,0.00041633676,1.7873173999999998,1.7856166,0.005816684911648432,0.2379491627066577,0.9324743747711182,-0.1274181604385376,0.6376130999999999,0.028395548,0.69492275,0.56276345,0.028326815,0.058115505,0.15826878,0.0012806657,0.014246844,0.27029768,0.6178304,-0.12366669999999999
15,111.0,0.0,202.0,1.0,202.0,3237.0,0.0,3.0,30.0,0.0,,,,,,,,,,,,0.40965772,0.5262097,1.8423412000000001,0.106146425,1.7868792000000002,0.0005115275,1.7877207999999998,1.7859077,0.058629887104034425,0.3340176776069255,1.7411983013153076,-0.17337322235107422,0.6567154000000001,0.050389715,0.7564806,0.60144335,0.057502635,0.11987650000000001,0.38495857,0.0010152962,0.104763225,0.4566884,1.2831223,-0.14556617
16,116.0,0.0,85.0,1.0,85.0,3322.0,0.0,2.0,45.0,0.0,,,,,,,,,,,,0.25175205,0.19202514,0.58181065,0.12077284,1.7861311000000002,0.00022539352000000004,1.7867635,1.7852018,0.044055606424808505,0.2953559386615572,0.9118626713752748,-0.1242380440235138,0.5640181,0.032740504,0.6562725,0.5265221,0.04458802,0.05352455,0.13338736,0.0018188638,0.08503638,0.25961897,0.521896,-0.12474314
17,132.0,0.0,312.0,1.0,312.0,3634.0,0.0,1.0,30.0,0.0,,,,,,,,,,,,0.10500105,0.09163694,0.37213796,0.04495571,1.7880688000000002,0.0007028649599999999,1.7891572,1.7863202,-0.024898689140876132,0.12935415122691682,0.9554620385169984,-0.2055288553237915,0.37192607,0.07350088,0.5356827,0.27211199999999997,0.008676221,0.026430234,0.10707066,0.00036567290000000003,-0.0442019,0.124824114,0.3879743,-0.23542595
18,145.0,0.0,258.0,1.0,258.0,3892.0,0.0,4.0,40.0,0.0,,,,,,,,,,,,0.29970792,0.44772219999999996,1.500709,0.012074841999999999,1.7882367,0.0008283065400000001,1.7892202000000001,1.7858863999999999,0.11998811090985935,0.34045270644274345,0.9968316555023192,-0.09189078211784364,0.3543604,0.030136237000000003,0.43473098,0.30342835,0.06515259,0.11414531,0.37140113,6.084996e-05,0.21466284,0.4868367,1.5365986999999999,-0.08063774
19,161.0,0.0,309.0,1.0,309.0,4201.0,0.0,3.0,75.0,0.0,,,,,,,,,,,,0.20448825,0.33913606,1.0843152,0.016003085,1.7878193,0.0006836644,1.7889468999999998,1.7858848999999999,0.05125902945796649,0.2724596408493622,0.9770920276641846,-0.18584229052066806,0.3364318,0.034241100000000003,0.430022,0.27962950000000003,0.03843087,0.08686223,0.26287764,0.00010919948,0.09134910000000002,0.37210622,1.028025,-0.26990506
20,168.0,0.0,129.0,1.0,129.0,4330.0,0.0,3.0,40.0,0.0,,,,,,,,,,,,0.7672147,0.71607286,1.7549644,0.007784052,1.7869498,0.0006501101999999999,1.7878363000000002,1.7859551,0.3282993403573831,0.4451293067540174,0.9873167276382446,-0.10040977597236632,0.40919120000000003,0.056627657000000005,0.50643826,0.33789554,0.15296029,0.15479732,0.35617104,0.00011355407,0.5920411,0.6610319,1.4826114,-0.09762695
21,193.0,0.0,483.0,1.0,483.0,4813.0,0.0,4.0,35.0,0.0,,,,,,,,,,,,0.5192922999999999,0.59380335,2.2829096,0.10747349,1.7822642,0.0019690457000000002,1.7856729,1.7755758000000001,0.02279901839792729,0.29883767574294184,0.9781329035758972,-0.3417869210243225,0.78086704,0.08027307,0.9863905000000001,0.6457394000000001,0.044911875999999996,0.091412224,0.32781357,0.0010392166000000001,0.04019198,0.44788578,1.369289,-0.42989740000000004
22,197.0,0.0,78.0,1.0,78.0,4891.0,0.0,2.0,25.0,0.0,,,,,,,,,,,,0.96845645,0.98964953,2.3671856,0.22693926,1.781684,0.0007012462599999999,1.7829419999999998,1.7792578999999997,0.18146663904190066,0.4732417973036315,1.7230660915374756,-0.15466994047164914,0.7316608,0.03176076,0.80935764,0.69534683,0.12844399,0.17532565,0.37638990000000005,0.0036092878000000004,0.3132697,0.6547206999999999,1.2390027,-0.16549143
23,201.0,0.0,80.0,1.0,80.0,4971.0,0.0,1.0,20.0,0.0,,,,,,,,,,,,1.0765558000000002,1.1968233999999998,2.7689288,0.20836018,1.7775781000000002,0.0018137165,1.7809012,1.7751888,0.22015700141588848,0.4277388706764948,0.9814174175262452,-0.150124192237854,0.7608085,0.037732545,0.80835205,0.6903621999999999,0.11571482,0.15898676,0.34055346,0.002360361,0.37290058,0.7046022,1.3689425,-0.15005425
24,212.0,0.0,219.0,1.0,219.0,5190.0,0.0,6.0,80.0,0.0,,,,,,,,,,,,1.3323551000000002,1.3750613,4.602012,0.12641105,1.7653259,0.0049865907,1.7740581000000002,1.7544688000000002,0.3137753143906593,0.5064431680442036,1.7744216918945312,-0.15095722675323486,0.8998474,0.06346476,1.0519991000000002,0.79719126,0.17746982,0.25633818,0.87980676,0.0016080175,0.5459844,0.75121397,2.209704,-0.14986011
25,218.0,0.0,112.0,1.0,112.0,5302.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4377265,0.06397429,0.53802395,0.3689574,1.7555879,0.0021618139999999997,1.7585857,1.7490838,-0.10999061107635498,0.06248836853027701,-0.005437731742858887,-0.2315748333930969,1.0049424999999998,0.021158153,1.079991,0.9727268,0.008001366999999999,0.0019396247,0.011228783,0.005922165,-0.19402657,0.022496592000000003,-0.16891325,-0.23270068
