Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
15,142.0,0.0,323.0,1.0,323.0,3865.0,0.0,6.0,85.0,0.0,,,,,,,,,,,,0.2907247,0.22952405,0.9397981,0.13678089999999998,1.4641280448494032,0.7886166197229362,3.3693512112754416,0.0,1.7060072,0.015372376,1.7845702,1.6742373,-0.021261883713305,0.2849333218772128,1.7568998336791992,-0.26869165897369385,1.0191581,0.2351011,1.5227226,0.6685075,0.05634562,0.08670314400000001,0.32105459999999997,0.0057951915000000005,-0.030042402000000003,0.31857806,0.86974585,-0.23997994
16,158.0,0.0,316.0,1.0,316.0,4181.0,0.0,6.0,70.0,0.0,,,,,,,,,,,,0.42419335,0.44866773,1.4816209999999999,0.16453709,1.2409807920841736,0.924825710935198,3.019197433217251,0.0,1.7177186999999998,0.007914036,1.7871863999999997,1.7053918999999997,0.09762066185474397,0.3663829596597454,1.799560546875,-0.13183927536010742,0.66193163,0.022891942000000002,0.7179861999999999,0.62799495,0.07774628,0.11481432,0.37442863,0.006178042,0.15981184,0.43080088,1.0028645,-0.12928498
17,167.0,0.0,170.0,1.0,170.0,4351.0,0.0,2.0,50.0,0.0,,,,,,,,,,,,0.5287096,0.61476785,1.7007252,0.140941,0.8476471956805812,0.4994951081010529,1.7936142836436553,0.0,1.7077371,0.018505154,1.7877468,1.6827904999999999,0.14300553370267152,0.3803734649550866,0.9866705536842346,-0.12415462732315065,0.63278216,0.025035212,0.67967755,0.5942092,0.08101401,0.12937154,0.32530063,0.005744279000000001,0.22818747,0.57176554,1.3163251,-0.113141
18,176.0,0.0,174.0,1.0,174.0,4525.0,0.0,1.0,15.0,0.0,,,,,,,,,,,,0.23783086,0.10953232,0.517558,0.14740978,0.41434362724996576,0.3076237847176768,1.0,0.0,1.6916886999999998,0.013833788,1.7853063000000002,1.6738026999999998,-0.02370305005460977,0.19648891114514536,0.9192088842391968,-0.1408560872077942,0.6370965999999999,0.046546523,0.7145845000000001,0.5770466,0.024032915,0.04306013,0.13789690000000002,0.0049483570000000004,-0.041773085,0.19855642,0.48007837,-0.14175145
19,187.0,0.0,214.0,1.0,214.0,4739.0,0.0,3.0,30.0,0.0,,,,,,,,,,,,0.39452076,0.40674135,1.4563757,0.1832571,1.045407345192817,0.7938267491937131,2.5997587280295686,0.0,1.6748153000000001,0.015181953,1.7851211999999999,1.6579663,0.09286628767848017,0.36422042180521297,1.7734636068344116,-0.11149552464485167,0.52847564,0.041901305,0.6064439,0.47270074,0.07026329,0.1348965,0.43251792,0.0069648769999999995,0.16749129,0.5288298,1.4733903,-0.10338198
20,195.0,0.0,148.0,1.0,148.0,4887.0,0.0,2.0,15.0,0.0,,,,,,,,,,,,0.43904358,0.6278062,1.9765203000000002,0.16251698,0.3750693855692628,0.6614638130102699,1.8953382542587165,0.0,1.6931912,0.015514016,1.7863619,1.6768826000000001,0.11535653173923492,0.4593842965094774,1.8359733819961548,-0.11115178465843199,0.49500959999999994,0.008450679499999999,0.5177353,0.47853753,0.10912762599999999,0.24973972,0.7208593000000001,0.0062326994,0.20295475,0.7139814999999999,1.9517162000000001,-0.1012306
21,202.0,0.0,126.0,1.0,126.0,5013.0,0.0,1.0,15.0,0.0,,,,,,,,,,,,0.17570925,0.04492458,0.2685328,0.13132946,0.3765107241860615,0.38325529149549936,1.0,0.0,1.7162805,0.012158396,1.7874026,1.702316,-0.01303210606177648,0.1724979706246855,0.9248849153518676,-0.09309032559394836,0.4478518,0.023912537999999997,0.48601314,0.41578874,0.019550378,0.03094143,0.08870594,0.004456401,-0.02318568,0.12344469999999999,0.25124308,-0.098938376
22,212.0,0.0,195.0,1.0,195.0,5208.0,0.0,4.0,50.0,0.0,,,,,,,,,,,,0.37756324,0.41312557,1.2630973,0.1443356,1.3288295395454783,0.7870405462501978,2.585038690599142,0.0,1.7068466,0.012377521,1.786989,1.6920598999999998,0.14030499673551985,0.3783768871106696,1.794649362564087,-0.08010745048522949,0.37946713,0.029196338999999998,0.43742234,0.34320164,0.07690627,0.11848185,0.34910798,0.005311481999999999,0.23043092,0.48165059999999993,1.2627466999999999,-0.0797853
23,216.0,0.0,66.0,1.0,66.0,5274.0,0.0,2.0,15.0,0.0,,,,,,,,,,,,0.48694399999999993,0.37979132,1.0185848,0.15493716,0.5604522720508426,0.74086374872987,1.8953382542587165,0.0,1.7105198,0.018408937,1.7877308,1.7008435000000002,0.2937978759407997,0.4464821262754539,0.9827439188957214,-0.07203873991966248,0.38508713,0.011453443,0.3978165,0.36266252,0.12650074,0.10585908599999999,0.26367090000000004,0.0059783933999999995,0.54536676,0.5285479999999999,1.2235819,-0.065885305
24,220.0,0.0,75.0,1.0,75.0,5349.0,0.0,1.0,15.0,0.0,,,,,,,,,,,,0.46667907,0.42910498,1.0732576,0.14778343,0.17500558297469554,0.3656709341141378,1.0,0.0,1.7068633999999998,0.017363548,1.7873251,1.6943554,0.17440186589956286,0.3921175503893004,0.964546799659729,-0.0966494083404541,0.39464778,0.008819908000000001,0.41931298,0.38159794,0.08377903,0.108998865,0.23792164,0.005625730400000001,0.28789923,0.5162920999999999,1.0179663,-0.08651152
25,236.0,0.0,302.0,1.0,302.0,5651.0,0.0,5.0,50.0,0.0,,,,,,,,,,,,0.45387524,0.58750385,2.1273313,0.14951114,1.325835591569498,1.0757583527139258,3.6417404849057697,0.0,1.6974736000000001,0.010466439000000001,1.7868215,1.6862636000000002,0.15802082687616348,0.44464004802706936,1.8693947792053225,-0.09374052286148073,0.42970118,0.045332283,0.5154675999999999,0.37181765,0.10599439,0.22743072,0.8912478000000001,0.005092144,0.26888525,0.67349637,2.3305123,-0.10727010000000001
