Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
40,30.0,0.0,1155.0,1155.0,24.0,1155.0,0.0,0.0,0.0,0.0,,,,0.00042282071080990136,5.6485298281697436e-05,0.0005100530688650906,0.00033552446984685963,0.00025,0.0,0.00025,0.00025,0.0051933196,0.0006526265599999999,0.0058433237,0.003972713,,,,
41,36.0,0.0,1179.0,1179.0,24.0,1179.0,0.0,0.0,0.0,0.0,,,,0.0003920471644960344,2.647747478544994e-05,0.00044171963236294687,0.00036266449023969466,0.00025,0.0,0.00025,0.00025,0.004692942,0.00040544494,0.005199684,0.004259481,,,,
42,42.0,0.0,1203.0,1203.0,24.0,1203.0,0.0,0.0,0.0,0.0,,,,0.003118851833278313,0.005698966059550239,0.015861840918660164,0.0004985839477740228,0.00025,0.0,0.00025,0.00025,0.006678779,0.0023803518,0.011960976000000002,0.0053120675,,,,
43,48.0,0.0,1227.0,1227.0,24.0,1227.0,0.0,0.0,0.0,0.0,,,,0.005667495492768164,0.007153760824219288,0.015970304608345032,0.0005760508356615901,0.00025,0.0,0.00025,0.00025,0.00836299,0.0027133594,0.012526569,0.0060874084,,,,
44,66.0,0.0,1299.0,1299.0,72.0,1299.0,0.0,1.0,1.0,0.0,,,,0.0020636335361309145,0.0048826021814800495,0.016001814976334572,0.00020979727560188619,0.00025,0.0,0.00025,0.00025,0.004903325300000001,0.0028761963000000002,0.012497221999999999,0.0025208476000000003,,,,
45,72.0,0.0,1323.0,1323.0,24.0,1323.0,0.0,0.0,0.0,0.0,,,,0.008151169667447297,0.00786298086409597,0.016158854588866234,0.0002518899855203926,0.00025,0.0,0.00025,0.00025,0.008019086,0.004847643400000001,0.013048775,0.0028621596,,,,
46,98.0,0.0,1426.0,1426.0,103.0,1426.0,0.0,2.0,2.0,0.0,,,,0.00559487055019977,0.010809101008035895,0.04621640592813492,0.00041127746226266026,0.00025,0.0,0.00025,0.00025,0.009652321,0.0046885040000000005,0.025108121,0.004441887,,,,
47,104.0,0.0,1450.0,1450.0,24.0,1450.0,0.0,0.0,0.0,0.0,,,,0.0014562769792973995,0.00011818659795225136,0.0016008749371394515,0.0012218679767102005,0.00025,0.0,0.00025,0.00025,0.00971073,0.0005225447,0.010584065,0.009061778000000001,,,,
48,121.0,0.0,1517.0,1517.0,67.0,1517.0,0.0,2.0,2.0,0.0,,,,0.005417154869064689,0.007012068335225615,0.016706081107258797,0.0006204848177731037,0.00025,0.0,0.00025,0.00025,0.009231998,0.0025823193,0.013915944,0.0057042683,,,,
49,127.0,0.0,1541.0,1541.0,24.0,1541.0,0.0,0.0,0.0,0.0,,,,0.006016306530606623,0.007097207718417855,0.016370289027690887,0.0009654880850575863,0.00025,0.0,0.00025,0.00025,0.009413256,0.0022584512,0.012822735,0.007412794,,,,
50,133.0,0.0,1565.0,1565.0,24.0,1565.0,0.0,0.0,0.0,0.0,,,,0.0007684953937617441,0.00013378138824980538,0.0009388023172505199,0.0005604589241556823,0.00025,0.0,0.00025,0.00025,0.006684826,0.0008728661300000002,0.008067735999999999,0.005513383,,,,
51,151.0,0.0,1637.0,1637.0,72.0,1637.0,0.0,1.0,1.0,0.0,,,,0.0012304497132491735,0.0035924546193974423,0.01603722758591175,0.00020958707318641245,0.00025,0.0,0.00025,0.00025,0.00485731,0.0020031703,0.012646108,0.0032437013,,,,
52,157.0,0.0,1661.0,1661.0,24.0,1661.0,0.0,0.0,0.0,0.0,,,,0.005576089800645907,0.007487499438995766,0.016507040709257126,0.00020261702593415976,0.00025,0.0,0.00025,0.00025,0.0067515857999999995,0.0046141734,0.013356399,0.0027987465999999997,,,,
53,163.0,0.0,1685.0,1685.0,24.0,1685.0,0.0,0.0,0.0,0.0,,,,0.003224910246596361,0.0058368290061272575,0.01627543568611145,0.0005014089983887969,0.00025,0.0,0.00025,0.00025,0.0072294013,0.0029073515999999996,0.013650464,0.005324093,,,,
54,169.0,0.0,1709.0,1709.0,24.0,1709.0,0.0,0.0,0.0,0.0,,,,0.0007910321292001754,2.565322189970054e-05,0.00084356137085706,0.0007599475211463869,0.00025,0.0,0.00025,0.00025,0.006405918399999999,0.00034880337999999996,0.0069670619999999996,0.0059402334,,,,
55,175.0,0.0,1733.0,1733.0,24.0,1733.0,0.0,0.0,0.0,0.0,,,,0.0057749234353347365,0.007026422811350122,0.015864444896578792,0.0007782705361023545,0.00025,0.0,0.00025,0.00025,0.008151828,0.0019347752,0.01086154,0.0061337994,,,,
56,181.0,0.0,1757.0,1757.0,24.0,1757.0,0.0,0.0,0.0,0.0,,,,0.0007597059884574263,5.7468502033689244e-05,0.0008153269300237298,0.0006664711399935187,0.00025,0.0,0.00025,0.00025,0.00713491,0.00043431005999999996,0.007766185,0.0064252787,,,,
57,187.0,0.0,1781.0,1781.0,24.0,1781.0,0.0,0.0,0.0,0.0,,,,0.005567708799693111,0.007057047761953806,0.01577514410018921,0.0005527392495423554,0.00025,0.0,0.00025,0.00025,0.0073155165,0.0025406377,0.011374786999999999,0.0051780934,,,,
58,193.0,0.0,1805.0,1805.0,24.0,1805.0,0.0,0.0,0.0,0.0,,,,0.002976377164789786,0.005639807708204722,0.0155872805044055,0.0004270448407623917,0.00025,0.0,0.00025,0.00025,0.00534673,0.0021114333,0.010029051,0.0038373338,,,,
59,196.0,0.0,1819.0,1819.0,14.0,1819.0,0.0,0.0,0.0,0.0,,,,0.000398195639718324,2.0304271812986802e-05,0.0004267868062015623,0.0003815969976130873,0.00025,0.0,0.00025,0.00025,0.004837195999999999,0.00021806042,0.005136589,0.0046234815,,,,
60,202.0,0.0,1843.0,1843.0,24.0,1843.0,0.0,0.0,0.0,0.0,,,,0.002898102626204491,0.005770153260061699,0.01580047607421875,0.0002849519660230726,0.00025,0.0,0.00025,0.00025,0.005245061600000001,0.0029276942,0.011781477,0.0036545784999999996,,,,
61,208.0,0.0,1867.0,1867.0,24.0,1867.0,0.0,0.0,0.0,0.0,,,,0.005423157451635537,0.0072438354973954925,0.015909161418676376,0.00027482592849992216,0.00025,0.0,0.00025,0.00025,0.0062724366,0.0036039087,0.011763416,0.0030797364,,,,
62,214.0,0.0,1891.0,1891.0,24.0,1891.0,0.0,0.0,0.0,0.0,,,,0.002899712004970449,0.005679416430379111,0.015598456375300884,0.00028011921676807106,0.00025,0.0,0.00025,0.00025,0.005413614000000001,0.0028295536,0.011549755,0.0034973542,,,,
63,220.0,0.0,1915.0,1915.0,24.0,1915.0,0.0,0.0,0.0,0.0,,,,0.0006219580730733772,0.00016804666087701046,0.0008727930835448205,0.0004017220926471055,0.00025,0.0,0.00025,0.00025,0.00498546,0.0005019102999999999,0.0058660447,0.004386895,,,,
